code	mod_code	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes
ALCAM:0676425f	17596	2.0	1.0	0.0	0.0	1.0	0.0
ALCAM:0676425f	17802	1.0	1.0	0.0	0.0	0.0	1.0
ALCAM:0676425f	19227	0.0	2.0	0.0	0.0	0.0	1.0
ALCAM:0676425f	19228	0.0	0.0	0.0	0.0	0.0	0.0
ALCAM:0676425f	19229	0.0	2.0	0.0	0.0	2.0	1.0
ALCAM:0676425f	69426	0.0	0.0	0.0	0.0	0.0	0.0
ALCAM:0676425f	a	1.0	8.0	3.0	0.0	18.0	8.0
ALCAM:0676425f	m	0.0	0.0	0.0	0.0	0.0	0.0
ALCAM:21b43d96	17596	3.0	3.0	3.0	1.0	0.0	1.0
ALCAM:21b43d96	17802	4.0	8.0	4.0	0.0	1.0	1.0
ALCAM:21b43d96	19227	3.0	7.0	6.0	2.0	1.0	0.0
ALCAM:21b43d96	19228	2.0	1.0	1.0	1.0	1.0	0.0
ALCAM:21b43d96	19229	5.0	1.0	2.0	1.0	1.0	0.0
ALCAM:21b43d96	69426	3.0	6.0	4.0	0.0	0.0	0.0
ALCAM:21b43d96	a	16.0	8.0	13.0	7.0	5.0	4.0
ALCAM:21b43d96	m	1.0	0.0	1.0	0.0	1.0	0.0
ALCAM:22f5abeb	17596	1.0	3.0	0.0	1.0	3.0	2.0
ALCAM:22f5abeb	17802	1.0	2.0	0.0	0.0	2.0	3.0
ALCAM:22f5abeb	19227	0.0	0.0	0.0	0.0	1.0	1.0
ALCAM:22f5abeb	19228	0.0	0.0	0.0	0.0	2.0	1.0
