code	mod_code	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes
ALCAM:0676425f	17596	0.001803	0.000299	0.0	0.0	0.000245	0.0
ALCAM:0676425f	17802	0.001076	0.000359	0.0	0.0	0.0	0.000729
ALCAM:0676425f	19227	0.0	0.000719	0.0	0.0	0.0	0.000729
ALCAM:0676425f	19228	0.0	0.0	0.0	0.0	0.0	0.0
ALCAM:0676425f	19229	0.0	0.000887	0.0	0.0	0.000769	0.000937
ALCAM:0676425f	69426	0.0	0.0	0.0	0.0	0.0	0.0
ALCAM:0676425f	a	0.000902	0.002393	0.00339	0.0	0.004405	0.006678
ALCAM:0676425f	m	0.0	0.0	0.0	0.0	0.0	0.0
ALCAM:21b43d96	17596	0.000376	0.000553	0.000667	0.000708	0.0	0.000929
ALCAM:21b43d96	17802	0.000579	0.001603	0.001002	0.0	0.000806	0.001058
ALCAM:21b43d96	19227	0.000434	0.001402	0.001502	0.001599	0.000806	0.0
ALCAM:21b43d96	19228	0.000432	0.000338	0.000392	0.001196	0.001193	0.0
ALCAM:21b43d96	19229	0.000966	0.000281	0.000664	0.001092	0.001082	0.0
ALCAM:21b43d96	69426	0.000376	0.001107	0.000889	0.0	0.0	0.0
ALCAM:21b43d96	a	0.002006	0.001476	0.00289	0.004954	0.003526	0.003714
ALCAM:21b43d96	m	0.000216	0.0	0.000392	0.0	0.001193	0.0
ALCAM:22f5abeb	17596	0.000328	0.000746	0.0	0.000206	0.000625	0.000358
ALCAM:22f5abeb	17802	0.000398	0.000605	0.0	0.0	0.000486	0.000641
ALCAM:22f5abeb	19227	0.0	0.0	0.0	0.0	0.000243	0.000214
ALCAM:22f5abeb	19228	0.0	0.0	0.0	0.0	0.000643	0.000286
ALCAM:22f5abeb	19229	0.001429	0.000368	0.0	0.000306	0.000594	0.000538
ALCAM:22f5abeb	69426	0.000328	0.0	0.0	0.000206	0.0	0.000358
ALCAM:22f5abeb	a	0.002949	0.002238	0.0	0.002471	0.001876	0.003044
ALCAM:22f5abeb	m	0.0	0.000768	0.0	0.000323	0.000321	0.000572
ALCAM:3d10dd85	17596	0.0	0.0	0.0	0.000422	0.000759	0.001133
ALCAM:3d10dd85	17802	0.0	0.0	0.0	0.000496	0.0	0.001377
ALCAM:3d10dd85	19227	0.0	0.0	0.001812	0.000992	0.000918	0.0
ALCAM:3d10dd85	19228	0.0	0.0	0.0	0.0	0.0	0.0
ALCAM:3d10dd85	19229	0.003676	0.0	0.001876	0.001017	0.000931	0.0
ALCAM:3d10dd85	69426	0.0	0.0	0.0	0.0	0.0	0.0
ALCAM:3d10dd85	a	0.002874	0.002933	0.004418	0.002956	0.004552	0.003398
ALCAM:3d10dd85	m	0.001887	0.0	0.0	0.00171	0.001013	0.0
ALCAM:60a9f375	17596	0.0	0.002313	0.000309	0.000769	0.000319	0.0
ALCAM:60a9f375	17802	0.000648	0.00091	0.000539	0.000907	0.000558	0.000405
ALCAM:60a9f375	19227	0.000259	0.00091	0.00018	0.000907	0.000186	0.000405
ALCAM:60a9f375	19228	0.0	0.0	0.0	0.0	0.0	0.000202
ALCAM:60a9f375	19229	0.000338	0.0	0.000235	0.0	0.000249	0.000187
ALCAM:60a9f375	69426	0.000111	0.0	0.0	0.0	0.0	0.0
ALCAM:60a9f375	a	0.00211	0.003084	0.00309	0.002308	0.004152	0.001959
ALCAM:60a9f375	m	0.000553	0.001307	0.0	0.0	0.000271	0.0
ALCAM:78da81db	17596	0.0	0.0	0.0	0.0	0.000527	0.0
ALCAM:78da81db	17802	0.000669	0.004032	0.0	0.0	0.002031	0.000983
ALCAM:78da81db	19227	0.001004	0.0	0.0	0.002342	0.0	0.001967
ALCAM:78da81db	19228	0.0	0.0	0.0	0.0	0.0	0.000994
ALCAM:78da81db	19229	0.00033	0.0	0.0	0.002786	0.002596	0.00092
ALCAM:78da81db	69426	0.0	0.0	0.0	0.0	0.000527	0.000759
ALCAM:78da81db	a	0.00342	0.001572	0.0	0.001825	0.004217	0.003035
ALCAM:78da81db	m	0.0	0.0	0.0	0.0	0.0	0.002982
ALCAM:87d3386e	17596	0.0	0.0	0.0	0.000722	0.0	0.0
ALCAM:87d3386e	17802	0.001916	0.0	0.004107	0.001365	0.0	0.001965
ALCAM:87d3386e	19227	0.0	0.0	0.0	0.00091	0.0	0.001965
ALCAM:87d3386e	19228	0.0	0.0	0.0	0.0	0.0	0.0
ALCAM:87d3386e	19229	0.001805	0.0	0.0	0.0	0.0	0.0
ALCAM:87d3386e	69426	0.0	0.0	0.0	0.0	0.000787	0.0
ALCAM:87d3386e	a	0.001534	0.0	0.001709	0.003968	0.005507	0.001567
ALCAM:87d3386e	m	0.001908	0.0	0.002242	0.001446	0.0	0.0
ALCAM:8bb6e7eb	17596	0.0	0.0	0.0	0.000406	0.000361	0.0
ALCAM:8bb6e7eb	17802	0.0	0.0	0.0	0.000441	0.000782	0.001307
ALCAM:8bb6e7eb	19227	0.0	0.0	0.0	0.000882	0.000391	0.0
ALCAM:8bb6e7eb	19228	0.0	0.0	0.0	0.0	0.0	0.0
ALCAM:8bb6e7eb	19229	0.0	0.0	0.0	0.001918	0.000752	0.0
ALCAM:8bb6e7eb	69426	0.0	0.0	0.0	0.000406	0.0	0.0
ALCAM:8bb6e7eb	a	0.0	0.0	0.0	0.007717	0.007828	0.003636
ALCAM:8bb6e7eb	m	0.0	0.0	0.0	0.0	0.000389	0.0
ALCAM:964ea96f	17596	0.0	0.0	0.0	0.00031	0.000392	0.000776
ALCAM:964ea96f	17802	0.0	0.0	0.0	0.000684	0.000436	0.0
ALCAM:964ea96f	19227	0.0	0.0	0.0	0.000513	0.000872	0.000868
ALCAM:964ea96f	19228	0.0	0.0	0.0	0.0	0.0	0.0
ALCAM:964ea96f	19229	0.0	0.0	0.0	0.001007	0.000546	0.000572
ALCAM:964ea96f	69426	0.0	0.0	0.0	0.00031	0.000196	0.000259
ALCAM:964ea96f	a	0.0	0.0	0.0	0.013646	0.011454	0.013713
ALCAM:964ea96f	m	0.0	0.0	0.0	0.000394	0.00037	0.000323
ALCAM:a7a3d623	17596	0.0	0.0	0.0	0.000599	0.0	0.0
