Model	Dorado_version	Max_WT_HEK293T_sites_recovered	N_FP0_parameter_conditions	N_conditions_at_max	A [P(A)>]	B [P(mod)>]	k (ratio)	FP_stoichiometry
HAC | m6A DRACH	0.9.6	66376	21143	1	0.93	0.99	0.4	8
HAC | m6A DRACH	1.3.2	50681	6701	1	0.99	0.99	0.8	10
HAC | m6A DRACH	1.4.0	52679	3935	1	0.91	0.99	1.8	10
HAC | m6A DRACH	2.0.0	65362	20970	1	0.98	0.98	0.4	5
SUP | m6A DRACH	0.6.3	13665	3760	1	0.96	0.99	1.6	1
SUP | m6A DRACH	0.9.6	69669	18969	1	0.85	0.99	0.4	10
SUP | m6A DRACH	1.3.2	65456	10628	1	0.94	0.99	0.6	10
SUP | m6A DRACH	1.4.0	72855	24482	1	0.86	0.99	0.4	7
SUP | m6A DRACH	2.0.0	70742	22027	1	0.98	0.99	0.4	5
HAC | m6A all-context	0.7.3	51405	12715	1	0.94	0.98	0.8	10
HAC | m6A all-context	0.9.6	60377	16974	1	0.96	0.99	0.4	10
HAC | m6A all-context	1.3.2	50778	4656	1	0.97	0.99	1.0	10
HAC | m6A all-context	1.4.0	52703	3483	1	0.98	0.99	1.0	9
HAC | m6A all-context	2.0.0	46060	21317	5	0.95–0.99	0.93	0.6	10
SUP | m6A all-context	0.7.3	43064	12546	1	0.93	0.99	1.2	8
SUP | m6A all-context	0.9.6	72343	15732	1	0.93	0.99	0.4	10
SUP | m6A all-context	1.3.2	66165	10991	1	0.98	0.99	0.4	10
SUP | m6A all-context	1.4.0	62086	27685	1	0.89	0.96	0.4	10
SUP | m6A all-context	2.0.0	59742	23177	1	0.80	0.98	0.6	10
HAC | pseU	0.7.3	398	8575	1	0.98	0.99	0.8	10
HAC | pseU	2.0.0	801	23359	1	0.80	0.99	1.0	2
SUP | pseU	1.4.0	1913	16775	1	0.87	0.99	0.4	5
SUP | pseU	2.0.0	1078	23477	1	0.80	0.98	1.0	2
HAC | inosine	0.9.6	23	3740	18	0.96–0.98	0.96	1.8–2.2	1–10
HAC | inosine	1.3.2	297	10698	1	0.93	0.98	1.0	8
HAC | inosine	1.4.0	734	13818	1	0.96	0.99	0.6	10
HAC | inosine	2.0.0	381	18859	5	0.95–0.99	0.90	1.0	10
SUP | inosine	0.9.6	60	510	7	0.80	0.99	3.8	1–7
SUP | inosine	1.3.2	275	13004	1	0.80	0.96	2.0	1
SUP | inosine	1.4.0	1357	31373	1	0.80	0.95	0.4	10
SUP | inosine	2.0.0	1386	27485	1	0.83	0.98	0.4	10
HAC | m5C	0.9.6	538	16161	1	0.93	0.97	0.8	10
HAC | m5C	1.3.2	8	4658	5	0.87–0.92	0.99	1.2–1.4	10
HAC | m5C	1.4.0	10	7607	8	0.80–0.81	0.98	2.0	1–4
HAC | m5C	2.0.0	9	1032	15	0.95–0.99	0.93	3.0	8–10
SUP | m5C	0.9.6	35	9408	1	0.99	0.98	0.6	10
SUP | m5C	1.3.2	21	13785	2	0.84–0.85	0.99	0.8	10
SUP | m5C	1.4.0	12	10948	2	0.94–0.95	0.99	0.8	6
SUP | m5C	2.0.0	32	20405	2	0.80–0.83	0.98	0.8	10
SUP | 2′OmeA	1.3.2	90	29588	5	0.80–0.84	0.93	0.4	10
SUP | 2′OmeA	1.4.0	7	36491	29	0.80–0.97	0.90	0.4	1–10
SUP | 2′OmeA	2.0.0	71	33426	2	0.87–0.88	0.90	0.4	10
SUP | 2′OmeC	1.3.2	95	15087	1	0.99	0.96	0.4	10
SUP | 2′OmeC	1.4.0	79	15587	3	0.99	0.98	0.4	8–10
SUP | 2′OmeC	2.0.0	57	23419	12	0.87–0.92	0.99	0.6	5–6
SUP | 2′OmeG	1.3.2	58	4418	2	0.99	0.94–0.95	1.6	10
SUP | 2′OmeG	1.4.0	91	22747	1	0.96	0.91	0.6	10
SUP | 2′OmeG	2.0.0	56	13370	2	0.91–0.92	0.98	0.8	10
SUP | 2′OmeU	1.3.2	60	15657	2	0.99	0.93	1.2	9–10
SUP | 2′OmeU	1.4.0	49	27927	48	0.80–0.87	0.99	0.4	5–10
SUP | 2′OmeU	2.0.0	62	23732	2	0.82–0.83	0.99	0.6	10
