#chrom	tes_1based	strand	intron_chain_tx_order	n_introns	read_support	frac_global	polya_support_frac	median_mapq	median_tail_len	median_tail_purity	n_unique_chains	n_full_length_reads	included_trunc	sample_counts	chain_counts	kept
chr18	23463079	+	23453503-23462963	1	1	0.0002	0.0000	60.0	209.0	0.340	1	1	0	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes:1	23453503-23462963:1	0
chr18	23464301	+	23453503-23462963;23463080-23463966	2	1	0.0002	0.0000	60.0	30.0	0.267	1	1	0	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:1	23453503-23462963;23463080-23463966:1	0
chr18	23474998	+	23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947	4	1	0.0002	1.0000	60.0	17.0	1.000	1	1	0	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:1	23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947:1	0
chr18	23475049	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23473428;23473484-23474947	7	1	0.0002	0.0000	60.0	928.0	0.328	1	1	0	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes:1	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23473428;23473484-23474947:1	0
chr18	23481380	+	23453359-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171	9	1	0.0002	1.0000	53.0	219.0	0.525	1	1	0	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:1	23453359-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:1	0
chr18	23481478	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171	12	391	0.0906	0.9130	60.0	47.0	0.754	12	220	1	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes:20|HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes:15|HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes:22|HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes:109|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:148|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes:77	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:220|23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:4|23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:6|23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:10|23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:6|23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:15|23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:11|23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:24|23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:28|23477087-23477178;23477269-23479316;23479425-23481171:28|23477269-23479316;23479425-23481171:14|23479425-23481171:25	1
chr18	23481478	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171	12	138	0.0320	0.9638	60.0	53.0	0.754	8	109	1	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes:1|HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes:50|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:49|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes:38	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:109|23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:2|23464113-23464205;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:3|23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:4|23464629-23466132;23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:1|23466277-23467398;23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:12|23467527-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:3|23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:4	1
chr18	23481478	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171	11	35	0.0081	1.0000	60.0	54.0	0.757	4	32	1	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes:1|HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes:1|HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes:12|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:15|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes:6	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:32|23464113-23464205;23464314-23464518;23464629-23466132;23466277-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:1|23464314-23464518;23464629-23466132;23466277-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:1|23464629-23466132;23466277-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:1	0
chr18	23481478	+	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171	11	36	0.0083	0.8611	60.0	52.0	0.737	5	27	1	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes:9|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:18|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes:9	23453503-23462963;23463080-23463966;23464113-23464205;23464314-23464518;23464629-23466132;23466277-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:27|23464113-23464205;23464314-23464518;23464629-23466132;23466277-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:2|23464314-23464518;23464629-23466132;23466277-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:4|23464629-23466132;23466277-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:2|23466277-23473428;23473484-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:1	0
chr18	23481478	+	23453503-23462963;23463080-23463966;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171	11	8	0.0019	0.8750	60.0	74.5	0.725	1	8	0	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes:5|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:3	23453503-23462963;23463080-23463966;23464314-23464518;23464629-23466132;23466277-23467398;23467527-23473428;23473627-23474947;23475108-23477005;23477087-23477178;23477269-23479316;23479425-23481171:8	0
