chrom	start0	end0	strand	ZN_transcript_index	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes
chr2	69914330	69914331	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914343	69914344	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914346	69914347	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914351	69914352	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914367	69914368	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914373	69914374	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914382	69914383	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914383	69914384	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914388	69914389	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914390	69914391	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914391	69914392	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914397	69914398	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914409	69914410	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914412	69914413	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914414	69914415	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914418	69914419	+	1	0.0	0.0	0.0	1.0	0.0	0.0
chr2	69914433	69914434	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914434	69914435	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914438	69914439	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914439	69914440	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914447	69914448	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914449	69914450	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914456	69914457	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914461	69914462	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914463	69914464	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914466	69914467	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914473	69914474	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914481	69914482	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914486	69914487	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914490	69914491	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914499	69914500	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914509	69914510	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914510	69914511	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914524	69914525	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914526	69914527	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914536	69914537	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914537	69914538	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914539	69914540	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914546	69914547	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914550	69914551	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914551	69914552	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914556	69914557	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914562	69914563	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914565	69914566	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914567	69914568	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914575	69914576	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914586	69914587	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914587	69914588	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914590	69914591	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914600	69914601	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914607	69914608	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914608	69914609	+	1	0.0	0.0	0.0	1.0	0.0	0.0
chr2	69914620	69914621	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914624	69914625	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914625	69914626	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914630	69914631	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914632	69914633	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914640	69914641	+	1	0.0	0.0	0.0	1.0	0.0	0.0
chr2	69914643	69914644	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914646	69914647	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914650	69914651	+	1	0.0	0.0	0.0	1.0	0.0	0.0
chr2	69914659	69914660	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914662	69914663	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914665	69914666	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914669	69914670	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914673	69914674	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914691	69914692	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914693	69914694	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914694	69914695	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914695	69914696	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914700	69914701	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914702	69914703	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914703	69914704	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914705	69914706	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914710	69914711	+	1	0.0	0.0	0.0	1.0	0.0	0.0
chr2	69914717	69914718	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914726	69914727	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914727	69914728	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914734	69914735	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914737	69914738	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914738	69914739	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914743	69914744	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914745	69914746	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914752	69914753	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914769	69914770	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914780	69914781	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914781	69914782	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914783	69914784	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914786	69914787	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914787	69914788	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914789	69914790	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914790	69914791	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914791	69914792	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914794	69914795	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914795	69914796	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914796	69914797	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914797	69914798	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914817	69914818	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914819	69914820	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914821	69914822	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914822	69914823	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914825	69914826	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914826	69914827	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914831	69914832	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914832	69914833	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914833	69914834	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914835	69914836	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914836	69914837	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914839	69914840	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914840	69914841	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914843	69914844	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914846	69914847	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914849	69914850	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914855	69914856	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914862	69914863	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914863	69914864	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914871	69914872	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914874	69914875	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914880	69914881	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914881	69914882	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914882	69914883	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914884	69914885	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914893	69914894	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914908	69914909	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914909	69914910	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914915	69914916	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914918	69914919	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914919	69914920	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914922	69914923	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914926	69914927	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914928	69914929	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914931	69914932	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914936	69914937	+	1	0.0	0.0	0.0	1.0	0.0	0.0
chr2	69914950	69914951	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914957	69914958	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914958	69914959	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914969	69914970	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914970	69914971	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914975	69914976	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914977	69914978	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914978	69914979	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914983	69914984	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69914994	69914995	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915010	69915011	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915011	69915012	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915014	69915015	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915017	69915018	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915018	69915019	+	1	0.0	0.0	0.0	1.0	0.0	0.0
chr2	69915027	69915028	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915028	69915029	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915040	69915041	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915041	69915042	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915043	69915044	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915045	69915046	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915046	69915047	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915059	69915060	+	3	0.0	0.0	0.0	1.0	0.0	0.0
chr2	69915063	69915064	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915063	69915064	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915063	69915064	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915065	69915066	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915065	69915066	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915065	69915066	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915071	69915072	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915071	69915072	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915071	69915072	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915079	69915080	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915079	69915080	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915079	69915080	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915081	69915082	+	1	0.0	0.0	0.0	0.057471	0.147059	0.0
chr2	69915081	69915082	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915081	69915082	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915082	69915083	+	1	0.384615	0.636364	0.128205	0.07	0.333333	0.188889
chr2	69915082	69915083	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915082	69915083	+	3	0.0	0.0	0.0	0.0	0.4	0.0
chr2	69915083	69915084	+	1	0.0	0.0	0.0	0.0	0.134831	0.0
chr2	69915083	69915084	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915083	69915084	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915085	69915086	+	1	0.0	0.0	0.058824	0.109489	0.060241	0.15873
chr2	69915085	69915086	+	2	0.0	0.178571	0.0	0.0	0.28	0.0
chr2	69915085	69915086	+	3	0.0	0.0	0.0	0.192308	0.092593	0.192308
chr2	69915087	69915088	+	1	0.0	0.0	0.0	0.0	1.0	0.0
chr2	69915092	69915093	+	3	0.0	0.0	0.0	1.0	0.0	0.0
chr2	69915095	69915096	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915095	69915096	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915101	69915102	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915117	69915118	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915123	69915124	+	1	0.0	1.0	0.0	0.0	0.0	0.0
chr2	69915124	69915125	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915127	69915128	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915128	69915129	+	1	0.0	0.0	0.087629	0.039062	0.027701	0.080402
chr2	69915128	69915129	+	2	0.0	0.086207	0.0	0.0	0.0	0.0
chr2	69915128	69915129	+	3	0.0	0.0	0.0	0.040323	0.02924	0.05618
chr2	69915133	69915134	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915134	69915135	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915136	69915137	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915139	69915140	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915139	69915140	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915140	69915141	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915146	69915147	+	1	0.031847	0.04386	0.02551	0.0	0.013055	0.021552
chr2	69915146	69915147	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915146	69915147	+	3	0.0	0.0	0.0	0.0	0.027322	0.0
chr2	69915147	69915148	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915150	69915151	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915151	69915152	+	1	0.033113	0.0	0.0	0.011905	0.019391	0.041037
chr2	69915151	69915152	+	2	0.0	0.0	0.0	0.135135	0.0	0.0
chr2	69915151	69915152	+	3	0.0	0.0	0.0	0.03937	0.036269	0.07
chr2	69915152	69915153	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915159	69915160	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915161	69915162	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915162	69915163	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915163	69915164	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915165	69915166	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915167	69915168	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915167	69915168	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915167	69915168	+	3	0.0	0.0	0.0	0.0	0.0	1.0
chr2	69915171	69915172	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915175	69915176	+	1	0.0	0.0	0.0	0.031674	0.030303	0.0
chr2	69915175	69915176	+	2	0.0	0.0	0.037594	0.0	0.0	0.055556
chr2	69915175	69915176	+	3	0.0	0.0	0.0	0.0	0.026596	0.0
chr2	69915176	69915177	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915180	69915181	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915180	69915181	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915183	69915184	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915183	69915184	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915184	69915185	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915187	69915188	+	1	0.0	0.0	0.0	0.01171	0.0	0.0
chr2	69915187	69915188	+	2	0.0	0.0	0.0	0.0	0.0	0.130435
chr2	69915187	69915188	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915189	69915190	+	1	0.0	0.0	0.0	0.01139	0.0	0.014228
chr2	69915189	69915190	+	2	0.049505	0.0	0.0	0.111111	0.0	0.0
chr2	69915189	69915190	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915191	69915192	+	1	0.0	0.0	0.0	0.011442	0.0	0.0
chr2	69915191	69915192	+	2	0.0	0.04	0.055556	0.0	0.0	0.0
chr2	69915191	69915192	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915199	69915200	+	1	0.0	0.0	0.0	1.0	0.0	0.0
chr2	69915199	69915200	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915201	69915202	+	1	0.04375	0.0	0.0	0.041262	0.037594	0.010417
chr2	69915201	69915202	+	2	0.0	0.0	0.037594	0.0	0.079365	0.088889
chr2	69915201	69915202	+	3	0.0	0.0	0.0	0.041322	0.154255	0.0
chr2	69915206	69915207	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915207	69915208	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915208	69915209	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915209	69915210	+	1	0.0	0.0	0.0	0.35	1.0	0.0
chr2	69915209	69915210	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915209	69915210	+	3	0.0	0.0	0.0	1.0	0.0	0.0
chr2	69915214	69915215	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915214	69915215	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915215	69915216	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915218	69915219	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915220	69915221	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915221	69915222	+	1	0.0	0.053191	0.07362	0.047091	0.028653	0.0
chr2	69915221	69915222	+	2	0.0	0.0	0.038168	0.0	0.0	0.0
chr2	69915221	69915222	+	3	0.0	0.0	0.0	0.048544	0.060976	0.0
chr2	69915223	69915224	+	1	0.034965	0.0	0.062827	0.025316	0.061069	0.050228
chr2	69915223	69915224	+	2	0.05618	0.237705	0.2	0.0	0.0	0.081395
chr2	69915223	69915224	+	3	0.0	0.0	0.0	0.150442	0.096591	0.046296
chr2	69915233	69915234	+	1	0.0	0.061947	0.056818	0.083333	0.017995	0.04721
chr2	69915233	69915234	+	2	0.0	0.042373	0.04	0.0	0.0	0.060241
chr2	69915233	69915234	+	3	0.0	0.0	0.0	0.083333	0.034653	0.053191
chr2	69915235	69915236	+	1	0.0	0.0	0.025641	0.07513	0.018088	0.033113
chr2	69915235	69915236	+	2	0.136364	0.0	0.141791	0.128205	0.087719	0.081395
chr2	69915235	69915236	+	3	0.0	0.0	0.0	0.084746	0.05	0.121212
chr2	69915241	69915242	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915245	69915246	+	1	0.0	0.0	0.027027	0.013055	0.054054	0.010989
chr2	69915245	69915246	+	2	0.055556	0.05	0.0	0.0	0.075758	0.111111
chr2	69915245	69915246	+	3	0.0	0.0	0.0	0.0	0.0	0.047619
chr2	69915247	69915248	+	1	0.0	0.043103	0.08982	0.083573	0.028736	0.059603
chr2	69915247	69915248	+	2	0.0	0.102564	0.038168	0.111111	0.166667	0.120482
chr2	69915247	69915248	+	3	0.0	0.0	0.0	0.047619	0.025773	0.046296
chr2	69915254	69915255	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915257	69915258	+	1	0.064103	0.0	0.05848	0.088398	0.09973	0.011111
chr2	69915257	69915258	+	2	0.119048	0.158879	0.080645	0.0	0.0	0.079545
chr2	69915257	69915258	+	3	0.0	0.0	0.0	0.153153	0.087209	0.046296
chr2	69915259	69915260	+	1	0.0	0.042017	0.116402	0.086957	0.124324	0.064732
chr2	69915259	69915260	+	2	0.136364	0.137615	0.114504	0.119048	0.113636	0.052632
chr2	69915259	69915260	+	3	0.0	0.0	0.0	0.096154	0.086207	0.0
chr2	69915262	69915263	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915262	69915263	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915262	69915263	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915265	69915266	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915267	69915268	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915270	69915271	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915271	69915272	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915271	69915272	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915273	69915274	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915273	69915274	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915273	69915274	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915276	69915277	+	1	0.031646	0.042017	0.054054	0.097744	0.047739	0.067797
chr2	69915276	69915277	+	2	0.0	0.059322	0.128788	0.272727	0.0	0.0
chr2	69915276	69915277	+	3	0.0	0.0	0.0	0.0	0.025907	0.045045
chr2	69915280	69915281	+	1	0.0	0.0	0.0	0.011261	0.011905	0.0
chr2	69915280	69915281	+	2	0.0	0.0	0.0	0.148936	0.064935	0.0
chr2	69915280	69915281	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915285	69915286	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915287	69915288	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915291	69915292	+	1	0.0	0.0	0.0	0.0	0.065375	0.034483
chr2	69915291	69915292	+	2	0.0	0.0	0.0	0.0	0.067568	0.0
chr2	69915291	69915292	+	3	0.0	0.0	0.0	0.038462	0.023256	0.045045
chr2	69915294	69915295	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915298	69915299	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915299	69915300	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915305	69915306	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915307	69915308	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915307	69915308	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915315	69915316	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915315	69915316	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915322	69915323	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915322	69915323	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915327	69915328	+	1	0.040698	0.0	0.0	0.040816	0.036675	0.009901
chr2	69915327	69915328	+	2	0.0	0.0	0.0	0.0	0.194444	0.045872
chr2	69915327	69915328	+	3	0.0	0.0	0.0	0.0	0.02381	0.0
chr2	69915328	69915329	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915329	69915330	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915329	69915330	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915329	69915330	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915330	69915331	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915330	69915331	+	2	0.0	0.0	0.0	0.111111	0.0	0.0
chr2	69915330	69915331	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915338	69915339	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915340	69915341	+	1	0.0	0.0	0.0	0.0	1.0	0.0
chr2	69915342	69915343	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915343	69915344	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915343	69915344	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915344	69915345	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915344	69915345	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915345	69915346	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915346	69915347	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69915348	69915349	+	1	0.0	0.113821	0.024752	0.017621	0.011468	0.033203
chr2	69915348	69915349	+	2	0.0	0.03937	0.0	0.0	0.067568	0.145631
chr2	69915348	69915349	+	3	0.0	0.0	0.0	0.0	0.022936	0.0
chr2	69915349	69915350	+	1	1.0	0.0	0.0	0.0	0.0	0.0
