code	mod_code	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes
ALCAM:0676425f	17596	1109.0	3343.0	885.0	0.0	4086.0	1198.0
ALCAM:0676425f	17802	929.0	2783.0	734.0	0.0	3460.0	1371.0
ALCAM:0676425f	19227	929.0	2783.0	734.0	0.0	3460.0	1371.0
ALCAM:0676425f	19228	696.0	2054.0	454.0	0.0	2373.0	939.0
ALCAM:0676425f	19229	765.0	2255.0	510.0	0.0	2601.0	1067.0
ALCAM:0676425f	69426	1109.0	3343.0	885.0	0.0	4086.0	1198.0
ALCAM:0676425f	a	1109.0	3343.0	885.0	0.0	4086.0	1198.0
ALCAM:0676425f	m	696.0	2054.0	454.0	0.0	2373.0	939.0
ALCAM:21b43d96	17596	7978.0	5421.0	4499.0	1413.0	1418.0	1077.0
ALCAM:21b43d96	17802	6908.0	4992.0	3994.0	1251.0	1241.0	945.0
ALCAM:21b43d96	19227	6908.0	4992.0	3994.0	1251.0	1241.0	945.0
ALCAM:21b43d96	19228	4626.0	2955.0	2554.0	836.0	838.0	506.0
ALCAM:21b43d96	19229	5176.0	3553.0	3013.0	916.0	924.0	579.0
ALCAM:21b43d96	69426	7978.0	5421.0	4499.0	1413.0	1418.0	1077.0
ALCAM:21b43d96	a	7978.0	5421.0	4499.0	1413.0	1418.0	1077.0
ALCAM:21b43d96	m	4626.0	2955.0	2554.0	836.0	838.0	506.0
ALCAM:22f5abeb	17596	3052.0	4021.0	0.0	4857.0	4798.0	5585.0
ALCAM:22f5abeb	17802	2513.0	3308.0	0.0	4011.0	4119.0	4683.0
ALCAM:22f5abeb	19227	2513.0	3308.0	0.0	4011.0	4119.0	4683.0
ALCAM:22f5abeb	19228	2002.0	2604.0	0.0	3092.0	3111.0	3498.0
ALCAM:22f5abeb	19229	2100.0	2721.0	0.0	3270.0	3366.0	3717.0
ALCAM:22f5abeb	69426	3052.0	4021.0	0.0	4857.0	4798.0	5585.0
ALCAM:22f5abeb	a	3052.0	4021.0	0.0	4857.0	4798.0	5585.0
ALCAM:22f5abeb	m	2002.0	2604.0	0.0	3092.0	3111.0	3498.0
ALCAM:3d10dd85	17596	696.0	682.0	679.0	2368.0	1318.0	2649.0
ALCAM:3d10dd85	17802	565.0	551.0	552.0	2017.0	1089.0	2178.0
ALCAM:3d10dd85	19227	565.0	551.0	552.0	2017.0	1089.0	2178.0
ALCAM:3d10dd85	19228	530.0	520.0	507.0	1754.0	987.0	1959.0
ALCAM:3d10dd85	19229	544.0	542.0	533.0	1967.0	1074.0	2158.0
ALCAM:3d10dd85	69426	696.0	682.0	679.0	2368.0	1318.0	2649.0
ALCAM:3d10dd85	a	696.0	682.0	679.0	2368.0	1318.0	2649.0
ALCAM:3d10dd85	m	530.0	520.0	507.0	1754.0	987.0	1959.0
ALCAM:60a9f375	17596	9006.0	1297.0	6472.0	1300.0	6262.0	8678.0
ALCAM:60a9f375	17802	7719.0	1099.0	5571.0	1103.0	5381.0	7411.0
ALCAM:60a9f375	19227	7719.0	1099.0	5571.0	1103.0	5381.0	7411.0
ALCAM:60a9f375	19228	5428.0	765.0	3945.0	779.0	3689.0	4961.0
ALCAM:60a9f375	19229	5915.0	819.0	4262.0	830.0	4021.0	5334.0
ALCAM:60a9f375	69426	9006.0	1297.0	6472.0	1300.0	6262.0	8678.0
ALCAM:60a9f375	a	9006.0	1297.0	6472.0	1300.0	6262.0	8678.0
ALCAM:60a9f375	m	5428.0	765.0	3945.0	779.0	3689.0	4961.0
ALCAM:78da81db	17596	3801.0	636.0	0.0	548.0	1897.0	1318.0
ALCAM:78da81db	17802	2989.0	496.0	0.0	427.0	1477.0	1017.0
ALCAM:78da81db	19227	2989.0	496.0	0.0	427.0	1477.0	1017.0
ALCAM:78da81db	19228	2789.0	473.0	0.0	342.0	1428.0	1006.0
ALCAM:78da81db	19229	3034.0	520.0	0.0	359.0	1541.0	1087.0
ALCAM:78da81db	69426	3801.0	636.0	0.0	548.0	1897.0	1318.0
ALCAM:78da81db	a	3801.0	636.0	0.0	548.0	1897.0	1318.0
ALCAM:78da81db	m	2789.0	473.0	0.0	342.0	1428.0	1006.0
ALCAM:87d3386e	17596	652.0	169.0	585.0	2772.0	1271.0	638.0
ALCAM:87d3386e	17802	522.0	140.0	487.0	2198.0	1003.0	509.0
ALCAM:87d3386e	19227	522.0	140.0	487.0	2198.0	1003.0	509.0
ALCAM:87d3386e	19228	524.0	99.0	446.0	2074.0	980.0	477.0
ALCAM:87d3386e	19229	554.0	105.0	494.0	2207.0	1017.0	520.0
ALCAM:87d3386e	69426	652.0	169.0	585.0	2772.0	1271.0	638.0
ALCAM:87d3386e	a	652.0	169.0	585.0	2772.0	1271.0	638.0
ALCAM:87d3386e	m	524.0	99.0	446.0	2074.0	980.0	477.0
ALCAM:8bb6e7eb	17596	0.0	0.0	0.0	2462.0	8303.0	825.0
ALCAM:8bb6e7eb	17802	0.0	0.0	0.0	2267.0	7670.0	765.0
ALCAM:8bb6e7eb	19227	0.0	0.0	0.0	2267.0	7670.0	765.0
ALCAM:8bb6e7eb	19228	0.0	0.0	0.0	1513.0	5147.0	493.0
ALCAM:8bb6e7eb	19229	0.0	0.0	0.0	1564.0	5318.0	528.0
ALCAM:8bb6e7eb	69426	0.0	0.0	0.0	2462.0	8303.0	825.0
ALCAM:8bb6e7eb	a	0.0	0.0	0.0	2462.0	8303.0	825.0
ALCAM:8bb6e7eb	m	0.0	0.0	0.0	1513.0	5147.0	493.0
ALCAM:964ea96f	17596	0.0	0.0	0.0	6449.0	10215.0	3865.0
ALCAM:964ea96f	17802	0.0	0.0	0.0	5849.0	9171.0	3457.0
ALCAM:964ea96f	19227	0.0	0.0	0.0	5849.0	9171.0	3457.0
ALCAM:964ea96f	19228	0.0	0.0	0.0	5080.0	8105.0	3097.0
ALCAM:964ea96f	19229	0.0	0.0	0.0	5959.0	9156.0	3499.0
ALCAM:964ea96f	69426	0.0	0.0	0.0	6449.0	10215.0	3865.0
ALCAM:964ea96f	a	0.0	0.0	0.0	6449.0	10215.0	3865.0
ALCAM:964ea96f	m	0.0	0.0	0.0	5080.0	8105.0	3097.0
ALCAM:a7a3d623	17596	0.0	238.0	614.0	1669.0	2116.0	1962.0
ALCAM:a7a3d623	17802	0.0	461.0	570.0	1598.0	1973.0	1905.0
ALCAM:a7a3d623	19227	0.0	461.0	570.0	1598.0	1973.0	1905.0
ALCAM:a7a3d623	19228	0.0	229.0	287.0	772.0	1158.0	932.0
ALCAM:a7a3d623	19229	0.0	275.0	335.0	897.0	1284.0	1054.0
ALCAM:a7a3d623	69426	0.0	238.0	614.0	1669.0	2116.0	1962.0
