chrom	start0	end0	strand	ZN_transcript_index	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes
chr3	105366684	105366685	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366686	105366687	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366687	105366688	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366689	105366690	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366691	105366692	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366694	105366695	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366695	105366696	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366699	105366700	+	1	6.0	0.0	0.0	0.0	0.0	0.0
chr3	105366701	105366702	+	1	6.0	0.0	0.0	0.0	0.0	0.0
chr3	105366702	105366703	+	1	6.0	0.0	6.0	0.0	0.0	0.0
chr3	105366702	105366703	+	4	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366707	105366708	+	1	6.0	0.0	0.0	0.0	0.0	0.0
chr3	105366707	105366708	+	2	0.0	0.0	0.0	0.0	6.0	0.0
chr3	105366707	105366708	+	4	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366708	105366709	+	1	0.0	6.0	0.0	0.0	0.0	0.0
chr3	105366708	105366709	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366708	105366709	+	4	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366712	105366713	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366713	105366714	+	1	0.0	0.0	6.0	0.0	0.0	0.0
chr3	105366713	105366714	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366713	105366714	+	4	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366715	105366716	+	1	0.0	0.0	7.0	0.0	0.0	0.0
chr3	105366715	105366716	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366715	105366716	+	4	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366717	105366718	+	1	14.0	0.0	6.0	0.0	0.0	6.0
chr3	105366717	105366718	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366717	105366718	+	4	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366720	105366721	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366722	105366723	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366722	105366723	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366722	105366723	+	4	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366724	105366725	+	1	6.0	0.0	6.0	0.0	0.0	0.0
chr3	105366724	105366725	+	2	0.0	0.0	0.0	0.0	7.0	0.0
chr3	105366724	105366725	+	4	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366725	105366726	+	1	0.0	0.0	6.0	0.0	0.0	0.0
chr3	105366725	105366726	+	2	0.0	0.0	0.0	0.0	0.0	6.0
chr3	105366725	105366726	+	4	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366726	105366727	+	1	12.0	0.0	6.0	0.0	0.0	0.0
chr3	105366726	105366727	+	2	0.0	0.0	0.0	0.0	0.0	7.0
chr3	105366726	105366727	+	4	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366731	105366732	+	1	6.0	12.0	6.0	0.0	6.0	0.0
chr3	105366731	105366732	+	2	6.0	0.0	0.0	0.0	0.0	0.0
chr3	105366731	105366732	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366731	105366732	+	4	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366732	105366733	+	1	25.0	12.0	0.0	0.0	0.0	0.0
chr3	105366732	105366733	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366732	105366733	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366732	105366733	+	4	0.0	0.0	6.0	0.0	0.0	0.0
chr3	105366733	105366734	+	1	7.0	20.0	0.0	6.0	0.0	0.0
chr3	105366733	105366734	+	2	0.0	6.0	0.0	0.0	0.0	0.0
chr3	105366733	105366734	+	3	0.0	0.0	0.0	6.0	0.0	0.0
chr3	105366733	105366734	+	4	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366738	105366739	+	1	18.0	6.0	12.0	0.0	0.0	0.0
chr3	105366738	105366739	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366738	105366739	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366738	105366739	+	4	0.0	0.0	0.0	0.0	6.0	0.0
chr3	105366741	105366742	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366743	105366744	+	1	7.0	0.0	13.0	0.0	0.0	0.0
chr3	105366743	105366744	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366743	105366744	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366743	105366744	+	4	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366745	105366746	+	1	12.0	12.0	0.0	6.0	0.0	0.0
chr3	105366745	105366746	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366745	105366746	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366745	105366746	+	4	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366750	105366751	+	1	14.0	13.0	0.0	0.0	7.0	0.0
chr3	105366750	105366751	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366750	105366751	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366750	105366751	+	4	0.0	0.0	0.0	0.0	7.0	0.0
chr3	105366751	105366752	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366752	105366753	+	1	0.0	0.0	0.0	6.0	0.0	0.0
chr3	105366752	105366753	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366752	105366753	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366752	105366753	+	4	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366756	105366757	+	1	18.0	24.0	21.0	6.0	14.0	0.0
chr3	105366756	105366757	+	2	7.0	6.0	7.0	0.0	6.0	0.0
chr3	105366756	105366757	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366756	105366757	+	4	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366758	105366759	+	1	6.0	0.0	0.0	0.0	0.0	0.0
chr3	105366758	105366759	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366758	105366759	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366758	105366759	+	4	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366762	105366763	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366762	105366763	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366762	105366763	+	3	0.0	0.0	0.0	6.0	0.0	0.0
chr3	105366762	105366763	+	4	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366763	105366764	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366763	105366764	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366763	105366764	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366763	105366764	+	4	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366766	105366767	+	1	0.0	6.0	0.0	0.0	0.0	0.0
chr3	105366766	105366767	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366766	105366767	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366766	105366767	+	4	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366769	105366770	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366769	105366770	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366769	105366770	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366769	105366770	+	4	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366771	105366772	+	1	0.0	6.0	6.0	0.0	0.0	0.0
chr3	105366771	105366772	+	2	0.0	0.0	0.0	0.0	6.0	0.0
chr3	105366771	105366772	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366771	105366772	+	4	0.0	0.0	0.0	0.0	0.0	0.0
