gene_name	mod_code	chrom	start0	end0	strand	n_tx_tested	test_name	stat_name	stat_value	p_value	effect_max_abs_frac_diff	per_transcript_json	p_adj_bh
RIOK3	a	chr18	23481482	23481483	+	6	chi2_6x2_pc0.5	chi2	2661.4051682854297	0.0	0.454545	"[{""ZN"":1,""Ncov"":5871,""Nmod"":37,""frac"":0.00630216317492761},{""ZN"":2,""Ncov"":887,""Nmod"":255,""frac"":0.2874859075535513},{""ZN"":3,""Ncov"":1763,""Nmod"":12,""frac"":0.006806579693703914},{""ZN"":4,""Ncov"":308,""Nmod"":140,""frac"":0.45454545454545453},{""ZN"":5,""Ncov"":538,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":317,""Nmod"":0,""frac"":0.0}]"	0.0
RIOK3	m	chr18	23473428	23473429	+	6	chi2_6x2_pc0.5	chi2	1881.8422055047815	0.0	0.413911	"[{""ZN"":1,""Ncov"":4625,""Nmod"":123,""frac"":0.026594594594594595},{""ZN"":2,""Ncov"":2119,""Nmod"":79,""frac"":0.03728173666823974},{""ZN"":3,""Ncov"":1752,""Nmod"":30,""frac"":0.017123287671232876},{""ZN"":4,""Ncov"":1034,""Nmod"":24,""frac"":0.02321083172147002},{""ZN"":5,""Ncov"":464,""Nmod"":200,""frac"":0.43103448275862066},{""ZN"":6,""Ncov"":269,""Nmod"":91,""frac"":0.3382899628252788}]"	0.0
ALCAM	a	chr3	105524469	105524470	+	4	chi2_4x2_pc0.5	chi2	1345.775694265768	1.7189759579707193e-291	0.516731	"[{""ZN"":1,""Ncov"":3752,""Nmod"":161,""frac"":0.04291044776119403},{""ZN"":2,""Ncov"":736,""Nmod"":32,""frac"":0.043478260869565216},{""ZN"":3,""Ncov"":486,""Nmod"":260,""frac"":0.5349794238683128},{""ZN"":4,""Ncov"":274,""Nmod"":5,""frac"":0.01824817518248175}]"	1.4709850264341435e-287
ALCAM	a	chr3	105524462	105524463	+	4	chi2_4x2_pc0.5	chi2	977.0630188693501	1.701399792201429e-211	0.335456	"[{""ZN"":1,""Ncov"":3693,""Nmod"":77,""frac"":0.020850257243433524},{""ZN"":2,""Ncov"":727,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":471,""Nmod"":158,""frac"":0.3354564755838641},{""ZN"":4,""Ncov"":271,""Nmod"":5,""frac"":0.01845018450184502}]"	1.0919583866348772e-207
ALCAM	a	chr3	105524376	105524377	+	4	chi2_4x2_pc0.5	chi2	949.8104579574012	1.3883363221644263e-205	0.45995	"[{""ZN"":1,""Ncov"":3701,""Nmod"":239,""frac"":0.0645771413131586},{""ZN"":2,""Ncov"":722,""Nmod"":43,""frac"":0.05955678670360111},{""ZN"":3,""Ncov"":487,""Nmod"":253,""frac"":0.5195071868583162},{""ZN"":4,""Ncov"":279,""Nmod"":23,""frac"":0.08243727598566308}]"	7.12827401252103e-202
ALCAM	19229	chr3	105576055	105576056	+	3	chi2_3x2_pc0.5	chi2	614.4089406898377	3.82642947448756e-134	0.191385	"[{""ZN"":1,""Ncov"":5391,""Nmod"":49,""frac"":0.009089222778705249},{""ZN"":2,""Ncov"":877,""Nmod"":7,""frac"":0.00798175598631699},{""ZN"":4,""Ncov"":316,""Nmod"":63,""frac"":0.19936708860759494}]"	1.6372016244840772e-130
MXD1	a	chr2	69938439	69938440	+	3	chi2_3x2_pc0.5	chi2	604.5699607589398	5.2396352951269713e-132	0.707849	"[{""ZN"":1,""Ncov"":2100,""Nmod"":994,""frac"":0.47333333333333333},{""ZN"":2,""Ncov"":792,""Nmod"":153,""frac"":0.19318181818181818},{""ZN"":3,""Ncov"":485,""Nmod"":437,""frac"":0.9010309278350516}]"	1.9215988185214228e-128
RIOK3	19227	chr18	23481480	23481481	+	6	chi2_6x2_pc0.5	chi2	607.2038973789013	5.6145319665443155e-129	0.099753	"[{""ZN"":1,""Ncov"":5691,""Nmod"":20,""frac"":0.003514320857494289},{""ZN"":2,""Ncov"":1213,""Nmod"":121,""frac"":0.09975267930750206},{""ZN"":3,""Ncov"":1680,""Nmod"":6,""frac"":0.0035714285714285713},{""ZN"":4,""Ncov"":438,""Nmod"":18,""frac"":0.0410958904109589},{""ZN"":5,""Ncov"":526,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":300,""Nmod"":0,""frac"":0.0}]"	1.8017033080640708e-125
MXD1	a	chr2	69938897	69938898	+	3	chi2_3x2_pc0.5	chi2	536.7545470288577	2.787603778015232e-117	0.553774	"[{""ZN"":1,""Ncov"":2025,""Nmod"":374,""frac"":0.18469135802469136},{""ZN"":2,""Ncov"":759,""Nmod"":74,""frac"":0.09749670619235837},{""ZN"":3,""Ncov"":433,""Nmod"":282,""frac"":0.651270207852194}]"	7.951484909911893e-114
RIOK3	19228	chr18	23481442	23481443	+	6	chi2_6x2_pc0.5	chi2	510.9069440683648	3.5305784063692665e-108	0.070943	"[{""ZN"":1,""Ncov"":5869,""Nmod"":12,""frac"":0.0020446413358323396},{""ZN"":2,""Ncov"":2897,""Nmod"":193,""frac"":0.06662064204349327},{""ZN"":3,""Ncov"":1764,""Nmod"":0,""frac"":0.0},{""ZN"":4,""Ncov"":1029,""Nmod"":73,""frac"":0.07094266277939747},{""ZN"":5,""Ncov"":536,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":316,""Nmod"":12,""frac"":0.0379746835443038}]"	9.063700884831182e-105
RIOK3	19229	chr18	23481484	23481485	+	6	chi2_6x2_pc0.5	chi2	443.3813914630916	1.3148443426447e-93	0.111111	"[{""ZN"":1,""Ncov"":5934,""Nmod"":7,""frac"":0.0011796427367711494},{""ZN"":2,""Ncov"":63,""Nmod"":7,""frac"":0.1111111111111111},{""ZN"":3,""Ncov"":1791,""Nmod"":0,""frac"":0.0},{""ZN"":4,""Ncov"":24,""Nmod"":0,""frac"":0.0},{""ZN"":5,""Ncov"":544,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":320,""Nmod"":0,""frac"":0.0}]"	3.0686076331249757e-90
RIOK3	19227	chr18	23481481	23481482	+	6	chi2_6x2_pc0.5	chi2	410.9298980725057	1.3072044681469574e-86	0.063931	"[{""ZN"":1,""Ncov"":5886,""Nmod"":6,""frac"":0.0010193679918450561},{""ZN"":2,""Ncov"":1048,""Nmod"":67,""frac"":0.06393129770992366},{""ZN"":3,""Ncov"":1750,""Nmod"":7,""frac"":0.004},{""ZN"":4,""Ncov"":368,""Nmod"":12,""frac"":0.03260869565217391},{""ZN"":5,""Ncov"":544,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":318,""Nmod"":0,""frac"":0.0}]"	2.7965460921890576e-83
MXD1	a	chr2	69938547	69938548	+	3	chi2_3x2_pc0.5	chi2	392.5189168295283	5.8290823273977444e-86	0.264452	"[{""ZN"":1,""Ncov"":2162,""Nmod"":93,""frac"":0.04301572617946346},{""ZN"":2,""Ncov"":805,""Nmod"":8,""frac"":0.009937888198757764},{""ZN"":3,""Ncov"":492,""Nmod"":135,""frac"":0.27439024390243905}]"	1.1511092423765761e-82
MXD1	a	chr2	69940417	69940418	+	3	chi2_3x2_pc0.5	chi2	364.0513567639422	8.856299888244415e-80	0.542723	"[{""ZN"":1,""Ncov"":2070,""Nmod"":760,""frac"":0.3671497584541063},{""ZN"":2,""Ncov"":776,""Nmod"":160,""frac"":0.20618556701030927},{""ZN"":3,""Ncov"":458,""Nmod"":343,""frac"":0.7489082969432315}]"	1.6239923623643615e-76
RIOK3	19229	chr18	23482653	23482654	+	4	chi2_4x2_pc0.5	chi2	337.302611154394	8.373372450655477e-73	0.044025	"[{""ZN"":1,""Ncov"":5911,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":1784,""Nmod"":0,""frac"":0.0},{""ZN"":5,""Ncov"":536,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":318,""Nmod"":14,""frac"":0.0440251572327044}]"	1.4330747836881829e-69
MXD1	a	chr2	69938777	69938778	+	3	chi2_3x2_pc0.5	chi2	324.307676733533	3.779921475773127e-71	0.398167	"[{""ZN"":1,""Ncov"":2032,""Nmod"":322,""frac"":0.15846456692913385},{""ZN"":2,""Ncov"":779,""Nmod"":68,""frac"":0.08729139922978177},{""ZN"":3,""Ncov"":447,""Nmod"":217,""frac"":0.4854586129753915}]"	6.064884007877982e-68
MXD1	a	chr2	69938729	69938730	+	3	chi2_3x2_pc0.5	chi2	321.98660379550313	1.2064167613073099e-70	0.427461	"[{""ZN"":1,""Ncov"":2095,""Nmod"":421,""frac"":0.20095465393794748},{""ZN"":2,""Ncov"":772,""Nmod"":56,""frac"":0.07253886010362694},{""ZN"":3,""Ncov"":468,""Nmod"":234,""frac"":0.5}]"	1.8218312409577212e-67
MXD1	19227	chr2	69940644	69940645	+	3	chi2_3x2_pc0.5	chi2	319.2858634174125	4.655385869630784e-70	0.404607	"[{""ZN"":1,""Ncov"":480,""Nmod"":176,""frac"":0.36666666666666664},{""ZN"":2,""Ncov"":762,""Nmod"":7,""frac"":0.009186351706036745},{""ZN"":3,""Ncov"":116,""Nmod"":48,""frac"":0.41379310344827586}]"	6.639614780286749e-67
