chrom	start0	end0	strand	ZN_transcript_index	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes
chr3	105366684	105366685	+	1	8.0	0.0	0.0	0.0	0.0	8.0
chr3	105366686	105366687	+	1	8.0	0.0	0.0	0.0	0.0	6.0
chr3	105366687	105366688	+	1	8.0	0.0	0.0	0.0	0.0	8.0
chr3	105366689	105366690	+	1	8.0	0.0	0.0	0.0	0.0	8.0
chr3	105366691	105366692	+	1	8.0	0.0	0.0	0.0	0.0	8.0
chr3	105366694	105366695	+	1	8.0	0.0	0.0	0.0	8.0	8.0
chr3	105366695	105366696	+	1	8.0	0.0	0.0	0.0	8.0	8.0
chr3	105366699	105366700	+	1	14.0	0.0	0.0	0.0	8.0	8.0
chr3	105366701	105366702	+	1	20.0	0.0	6.0	0.0	12.0	6.0
chr3	105366702	105366703	+	1	22.0	0.0	6.0	0.0	14.0	8.0
chr3	105366702	105366703	+	4	0.0	0.0	0.0	0.0	6.0	0.0
chr3	105366707	105366708	+	1	22.0	0.0	22.0	0.0	16.0	16.0
chr3	105366707	105366708	+	2	6.0	0.0	0.0	0.0	6.0	0.0
chr3	105366707	105366708	+	4	0.0	0.0	0.0	0.0	8.0	0.0
chr3	105366708	105366709	+	1	24.0	6.0	24.0	0.0	16.0	16.0
chr3	105366708	105366709	+	2	8.0	0.0	0.0	0.0	6.0	0.0
chr3	105366708	105366709	+	4	0.0	0.0	0.0	0.0	8.0	0.0
chr3	105366712	105366713	+	1	8.0	0.0	0.0	0.0	0.0	0.0
chr3	105366713	105366714	+	1	30.0	8.0	28.0	0.0	16.0	16.0
chr3	105366713	105366714	+	2	8.0	0.0	0.0	0.0	8.0	0.0
chr3	105366713	105366714	+	4	0.0	0.0	0.0	0.0	8.0	0.0
chr3	105366715	105366716	+	1	30.0	6.0	29.0	0.0	16.0	16.0
chr3	105366715	105366716	+	2	8.0	0.0	0.0	0.0	8.0	0.0
chr3	105366715	105366716	+	4	0.0	0.0	0.0	0.0	6.0	0.0
chr3	105366717	105366718	+	1	30.0	6.0	26.0	0.0	16.0	14.0
chr3	105366717	105366718	+	2	8.0	0.0	0.0	0.0	8.0	0.0
chr3	105366717	105366718	+	4	0.0	0.0	0.0	0.0	8.0	0.0
chr3	105366720	105366721	+	1	8.0	0.0	0.0	0.0	0.0	0.0
chr3	105366722	105366723	+	1	14.0	16.0	32.0	0.0	14.0	14.0
chr3	105366722	105366723	+	2	8.0	0.0	0.0	0.0	8.0	0.0
chr3	105366722	105366723	+	4	0.0	0.0	0.0	0.0	8.0	0.0
chr3	105366724	105366725	+	1	30.0	22.0	34.0	8.0	16.0	16.0
chr3	105366724	105366725	+	2	6.0	0.0	0.0	0.0	7.0	0.0
chr3	105366724	105366725	+	4	0.0	0.0	0.0	0.0	8.0	0.0
chr3	105366725	105366726	+	1	30.0	24.0	38.0	8.0	22.0	16.0
chr3	105366725	105366726	+	2	8.0	0.0	0.0	0.0	8.0	6.0
chr3	105366725	105366726	+	4	0.0	0.0	0.0	0.0	8.0	0.0
chr3	105366726	105366727	+	1	50.0	30.0	38.0	8.0	22.0	16.0
chr3	105366726	105366727	+	2	8.0	0.0	6.0	0.0	8.0	7.0
chr3	105366726	105366727	+	4	0.0	0.0	6.0	0.0	6.0	0.0
chr3	105366731	105366732	+	1	68.0	56.0	40.0	6.0	34.0	14.0
chr3	105366731	105366732	+	2	14.0	0.0	20.0	0.0	8.0	8.0
chr3	105366731	105366732	+	3	0.0	0.0	0.0	6.0	0.0	0.0
chr3	105366731	105366732	+	4	0.0	0.0	8.0	0.0	6.0	0.0
chr3	105366732	105366733	+	1	91.0	80.0	44.0	8.0	38.0	16.0
chr3	105366732	105366733	+	2	14.0	0.0	22.0	0.0	8.0	8.0
chr3	105366732	105366733	+	3	0.0	0.0	0.0	6.0	0.0	0.0
chr3	105366732	105366733	+	4	0.0	0.0	6.0	0.0	8.0	0.0
chr3	105366733	105366734	+	1	99.0	80.0	46.0	14.0	40.0	16.0
chr3	105366733	105366734	+	2	16.0	6.0	24.0	0.0	8.0	8.0
chr3	105366733	105366734	+	3	0.0	0.0	0.0	6.0	0.0	0.0
chr3	105366733	105366734	+	4	0.0	0.0	8.0	0.0	8.0	0.0
chr3	105366738	105366739	+	1	108.0	92.0	58.0	14.0	39.0	16.0
chr3	105366738	105366739	+	2	16.0	8.0	20.0	0.0	8.0	8.0
chr3	105366738	105366739	+	3	0.0	0.0	0.0	8.0	0.0	0.0
chr3	105366738	105366739	+	4	0.0	0.0	8.0	0.0	6.0	0.0
chr3	105366741	105366742	+	1	6.0	0.0	0.0	0.0	0.0	0.0
chr3	105366743	105366744	+	1	123.0	104.0	61.0	16.0	38.0	16.0
chr3	105366743	105366744	+	2	16.0	6.0	20.0	0.0	8.0	8.0
chr3	105366743	105366744	+	3	0.0	0.0	0.0	8.0	0.0	0.0
chr3	105366743	105366744	+	4	0.0	0.0	8.0	0.0	6.0	0.0
chr3	105366745	105366746	+	1	122.0	112.0	70.0	14.0	38.0	16.0
chr3	105366745	105366746	+	2	16.0	8.0	20.0	0.0	6.0	8.0
chr3	105366745	105366746	+	3	0.0	0.0	0.0	8.0	0.0	0.0
chr3	105366745	105366746	+	4	0.0	0.0	8.0	0.0	0.0	0.0
chr3	105366750	105366751	+	1	132.0	117.0	78.0	16.0	39.0	16.0
chr3	105366750	105366751	+	2	16.0	6.0	24.0	0.0	6.0	8.0
chr3	105366750	105366751	+	3	0.0	0.0	0.0	8.0	0.0	0.0
chr3	105366750	105366751	+	4	0.0	0.0	8.0	0.0	7.0	0.0
chr3	105366751	105366752	+	1	0.0	0.0	8.0	0.0	0.0	0.0
chr3	105366752	105366753	+	1	132.0	120.0	78.0	12.0	38.0	14.0
chr3	105366752	105366753	+	2	16.0	6.0	24.0	0.0	8.0	8.0
chr3	105366752	105366753	+	3	0.0	0.0	0.0	8.0	0.0	0.0
chr3	105366752	105366753	+	4	0.0	0.0	8.0	0.0	6.0	0.0
chr3	105366756	105366757	+	1	120.0	110.0	81.0	14.0	34.0	14.0
chr3	105366756	105366757	+	2	15.0	6.0	19.0	0.0	6.0	8.0
chr3	105366756	105366757	+	3	0.0	0.0	0.0	8.0	0.0	0.0
chr3	105366756	105366757	+	4	0.0	0.0	8.0	0.0	8.0	0.0
chr3	105366758	105366759	+	1	134.0	120.0	84.0	16.0	40.0	16.0
chr3	105366758	105366759	+	2	16.0	8.0	22.0	0.0	8.0	8.0
chr3	105366758	105366759	+	3	0.0	0.0	0.0	8.0	0.0	0.0
chr3	105366758	105366759	+	4	0.0	0.0	8.0	0.0	8.0	0.0
chr3	105366762	105366763	+	1	132.0	120.0	88.0	16.0	40.0	16.0
chr3	105366762	105366763	+	2	16.0	8.0	24.0	0.0	8.0	8.0
chr3	105366762	105366763	+	3	0.0	0.0	0.0	6.0	0.0	0.0
chr3	105366762	105366763	+	4	0.0	0.0	8.0	0.0	8.0	0.0
chr3	105366763	105366764	+	1	136.0	120.0	88.0	16.0	40.0	16.0
chr3	105366763	105366764	+	2	16.0	8.0	24.0	0.0	8.0	8.0
chr3	105366763	105366764	+	3	0.0	0.0	0.0	8.0	0.0	0.0
chr3	105366763	105366764	+	4	0.0	0.0	8.0	0.0	8.0	0.0
chr3	105366766	105366767	+	1	132.0	116.0	88.0	16.0	40.0	16.0
chr3	105366766	105366767	+	2	16.0	8.0	20.0	0.0	8.0	8.0
chr3	105366766	105366767	+	3	0.0	0.0	0.0	8.0	6.0	0.0
chr3	105366766	105366767	+	4	0.0	0.0	8.0	0.0	8.0	0.0
chr3	105366769	105366770	+	1	136.0	120.0	94.0	16.0	40.0	16.0
chr3	105366769	105366770	+	2	16.0	8.0	24.0	0.0	16.0	8.0
chr3	105366769	105366770	+	3	0.0	0.0	0.0	8.0	8.0	0.0
chr3	105366769	105366770	+	4	0.0	0.0	8.0	0.0	8.0	0.0
chr3	105366771	105366772	+	1	136.0	116.0	94.0	16.0	40.0	16.0
chr3	105366771	105366772	+	2	14.0	8.0	22.0	0.0	14.0	8.0
chr3	105366771	105366772	+	3	0.0	0.0	0.0	8.0	8.0	0.0
chr3	105366771	105366772	+	4	0.0	0.0	8.0	0.0	8.0	0.0
chr3	105366772	105366773	+	1	129.0	112.0	94.0	14.0	38.0	16.0
chr3	105366772	105366773	+	2	16.0	8.0	16.0	0.0	16.0	8.0
chr3	105366772	105366773	+	3	0.0	0.0	0.0	6.0	8.0	0.0
chr3	105366772	105366773	+	4	0.0	0.0	8.0	0.0	8.0	0.0
chr3	105366773	105366774	+	1	6.0	0.0	0.0	0.0	0.0	0.0
chr3	105366774	105366775	+	1	120.0	114.0	98.0	14.0	40.0	16.0
chr3	105366774	105366775	+	2	12.0	7.0	22.0	0.0	14.0	8.0
chr3	105366774	105366775	+	3	0.0	0.0	0.0	0.0	8.0	0.0
chr3	105366774	105366775	+	4	0.0	0.0	8.0	0.0	8.0	0.0
chr3	105366775	105366776	+	1	0.0	0.0	8.0	0.0	0.0	0.0
chr3	105366775	105366776	+	2	8.0	0.0	0.0	0.0	0.0	0.0
chr3	105366776	105366777	+	1	8.0	0.0	0.0	0.0	0.0	0.0
chr3	105366779	105366780	+	1	135.0	126.0	104.0	16.0	40.0	16.0
chr3	105366779	105366780	+	2	16.0	8.0	24.0	0.0	16.0	8.0
chr3	105366779	105366780	+	3	0.0	0.0	0.0	6.0	8.0	0.0
chr3	105366779	105366780	+	4	0.0	0.0	8.0	0.0	8.0	0.0
chr3	105366782	105366783	+	1	136.0	126.0	104.0	16.0	40.0	16.0
chr3	105366782	105366783	+	2	16.0	6.0	24.0	0.0	16.0	8.0
chr3	105366782	105366783	+	3	0.0	0.0	0.0	6.0	8.0	0.0
chr3	105366782	105366783	+	4	0.0	0.0	8.0	0.0	8.0	0.0
chr3	105366787	105366788	+	1	136.0	124.0	102.0	16.0	48.0	16.0
chr3	105366787	105366788	+	2	16.0	6.0	24.0	0.0	16.0	8.0
chr3	105366787	105366788	+	3	0.0	0.0	0.0	8.0	8.0	0.0
chr3	105366787	105366788	+	4	0.0	0.0	8.0	0.0	8.0	0.0
chr3	105366788	105366789	+	1	128.0	128.0	102.0	16.0	48.0	16.0
chr3	105366788	105366789	+	2	16.0	6.0	24.0	0.0	16.0	8.0
chr3	105366788	105366789	+	3	0.0	0.0	0.0	8.0	8.0	0.0
chr3	105366788	105366789	+	4	0.0	0.0	8.0	0.0	8.0	0.0
chr3	105366790	105366791	+	1	136.0	124.0	102.0	16.0	48.0	16.0
chr3	105366790	105366791	+	2	16.0	8.0	24.0	0.0	16.0	8.0
chr3	105366790	105366791	+	3	0.0	0.0	0.0	8.0	8.0	0.0
chr3	105366790	105366791	+	4	0.0	0.0	8.0	0.0	8.0	0.0
chr3	105366792	105366793	+	1	120.0	136.0	96.0	16.0	48.0	16.0
chr3	105366792	105366793	+	2	16.0	0.0	24.0	0.0	16.0	8.0
chr3	105366792	105366793	+	3	0.0	0.0	0.0	8.0	8.0	0.0
chr3	105366792	105366793	+	4	0.0	0.0	8.0	0.0	8.0	0.0
chr3	105366795	105366796	+	1	136.0	136.0	102.0	16.0	40.0	16.0
chr3	105366795	105366796	+	2	16.0	8.0	24.0	0.0	16.0	8.0
chr3	105366795	105366796	+	3	0.0	0.0	0.0	8.0	8.0	0.0
chr3	105366795	105366796	+	4	0.0	0.0	8.0	0.0	8.0	0.0
chr3	105366798	105366799	+	1	108.0	126.0	96.0	16.0	36.0	14.0
chr3	105366798	105366799	+	2	16.0	0.0	22.0	0.0	8.0	8.0
chr3	105366798	105366799	+	3	0.0	0.0	0.0	8.0	8.0	0.0
chr3	105366798	105366799	+	4	0.0	0.0	8.0	0.0	8.0	0.0
chr3	105366799	105366800	+	1	118.0	136.0	102.0	16.0	38.0	16.0
chr3	105366799	105366800	+	2	16.0	8.0	24.0	0.0	16.0	0.0
chr3	105366799	105366800	+	3	0.0	0.0	0.0	8.0	8.0	0.0
chr3	105366799	105366800	+	4	0.0	0.0	8.0	0.0	8.0	0.0
chr3	105366800	105366801	+	2	0.0	0.0	0.0	0.0	0.0	8.0
chr3	105366801	105366802	+	1	134.0	132.0	92.0	16.0	48.0	14.0
chr3	105366801	105366802	+	2	16.0	8.0	24.0	0.0	16.0	8.0
chr3	105366801	105366802	+	3	0.0	0.0	0.0	8.0	8.0	0.0
chr3	105366801	105366802	+	4	0.0	0.0	8.0	0.0	8.0	0.0
chr3	105366802	105366803	+	1	136.0	136.0	92.0	16.0	48.0	16.0
chr3	105366802	105366803	+	2	16.0	8.0	24.0	0.0	16.0	8.0
chr3	105366802	105366803	+	3	0.0	0.0	0.0	8.0	8.0	0.0
chr3	105366802	105366803	+	4	0.0	0.0	8.0	0.0	8.0	0.0
chr3	105366805	105366806	+	1	134.0	128.0	80.0	16.0	48.0	16.0
chr3	105366805	105366806	+	2	16.0	8.0	24.0	0.0	16.0	8.0
chr3	105366805	105366806	+	3	0.0	0.0	0.0	8.0	8.0	0.0
chr3	105366805	105366806	+	4	0.0	0.0	8.0	0.0	8.0	0.0
chr3	105366807	105366808	+	1	16.0	0.0	20.0	0.0	0.0	0.0
chr3	105366808	105366809	+	1	7.0	0.0	0.0	0.0	0.0	0.0
chr3	105366810	105366811	+	1	122.0	122.0	86.0	14.0	46.0	16.0
chr3	105366810	105366811	+	2	16.0	8.0	24.0	0.0	16.0	8.0
chr3	105366810	105366811	+	3	0.0	0.0	0.0	0.0	8.0	0.0
chr3	105366810	105366811	+	4	0.0	0.0	8.0	0.0	8.0	0.0
chr3	105366812	105366813	+	1	118.0	130.0	84.0	16.0	46.0	16.0
chr3	105366812	105366813	+	2	14.0	8.0	24.0	0.0	16.0	8.0
chr3	105366812	105366813	+	3	0.0	0.0	0.0	8.0	0.0	0.0
chr3	105366812	105366813	+	4	0.0	0.0	8.0	0.0	8.0	0.0
chr3	105366813	105366814	+	1	8.0	0.0	0.0	0.0	0.0	0.0
chr3	105366815	105366816	+	1	123.0	111.0	80.0	16.0	48.0	16.0
chr3	105366815	105366816	+	2	14.0	8.0	22.0	0.0	16.0	8.0
chr3	105366815	105366816	+	3	0.0	0.0	0.0	8.0	6.0	0.0
chr3	105366815	105366816	+	4	0.0	0.0	8.0	0.0	8.0	0.0
chr3	105366816	105366817	+	1	0.0	6.0	0.0	0.0	0.0	0.0
chr3	105366817	105366818	+	1	6.0	0.0	0.0	0.0	0.0	0.0
chr3	105366818	105366819	+	1	107.0	102.0	68.0	13.0	44.0	14.0
chr3	105366818	105366819	+	2	12.0	8.0	20.0	0.0	16.0	8.0
chr3	105366818	105366819	+	3	0.0	0.0	0.0	0.0	6.0	0.0
chr3	105366818	105366819	+	4	0.0	0.0	8.0	0.0	6.0	0.0
chr3	105366819	105366820	+	1	108.0	112.0	76.0	14.0	40.0	16.0
chr3	105366819	105366820	+	2	14.0	8.0	24.0	0.0	16.0	8.0
chr3	105366819	105366820	+	3	0.0	0.0	0.0	6.0	6.0	0.0
chr3	105366819	105366820	+	4	0.0	0.0	8.0	0.0	8.0	0.0
chr3	105366822	105366823	+	3	0.0	0.0	0.0	6.0	0.0	0.0
chr3	105366823	105366824	+	3	0.0	0.0	0.0	6.0	0.0	0.0
chr3	105366824	105366825	+	1	0.0	0.0	6.0	0.0	0.0	0.0
chr3	105366832	105366833	+	1	0.0	0.0	6.0	0.0	0.0	0.0
