code	sample	mod_code	Nvalid_cov	Nmod	Ncanonical	Nother_mod	Ndelete	Nfail	Ndiff	Nnocall	n_sites	frac_modified	gtf_gene_name	gtf_gene_id	gtf_transcript_id	classification	match_source	iso_tes	iso_chain_tx	gtf_tes	gtf_chain_tx	tes_delta_bp	exon_overlap_bp	read_support	frac_global	polya_support_frac	sample_counts
ALCAM:0676425f	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	19229	765	0	765	0	0	0	0	0	765	0.0	ALCAM	ALCAM	NM_001627.4	NOVEL_APA	OVERLAP	105575939	105367482-105520066;105520168-105524288;105524509-105532001;105532067-105533602;105533691-105534662;105534846-105539974;105540103-105541632;105541766-105545222;105545336-105547148;105547285-105547389;105547524-105550126;105550260-105552143;105552183-105552467;105552586-105571851;105571965-105574476	105576900	105367482-105520066;105520168-105524288;105524509-105532001;105532067-105533602;105533691-105534662;105534846-105539974;105540103-105541632;105541766-105545222;105545336-105547148;105547285-105547389;105547524-105550126;105550260-105552143;105552183-105552467;105552586-105571851;105571965-105574476	961	3740	11	0.003	1.0000	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes:1|HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes:3|HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes:1|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:4|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes:2
ALCAM:0676425f	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	a	1109	1	1106	2	0	0	0	0	1109	0.000902	ALCAM	ALCAM	NM_001627.4	NOVEL_APA	OVERLAP	105575939	105367482-105520066;105520168-105524288;105524509-105532001;105532067-105533602;105533691-105534662;105534846-105539974;105540103-105541632;105541766-105545222;105545336-105547148;105547285-105547389;105547524-105550126;105550260-105552143;105552183-105552467;105552586-105571851;105571965-105574476	105576900	105367482-105520066;105520168-105524288;105524509-105532001;105532067-105533602;105533691-105534662;105534846-105539974;105540103-105541632;105541766-105545222;105545336-105547148;105547285-105547389;105547524-105550126;105550260-105552143;105552183-105552467;105552586-105571851;105571965-105574476	961	3740	11	0.003	1.0000	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes:1|HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes:3|HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes:1|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:4|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes:2
ALCAM:0676425f	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	17596	1109	2	1106	1	0	0	0	0	1109	0.001803	ALCAM	ALCAM	NM_001627.4	NOVEL_APA	OVERLAP	105575939	105367482-105520066;105520168-105524288;105524509-105532001;105532067-105533602;105533691-105534662;105534846-105539974;105540103-105541632;105541766-105545222;105545336-105547148;105547285-105547389;105547524-105550126;105550260-105552143;105552183-105552467;105552586-105571851;105571965-105574476	105576900	105367482-105520066;105520168-105524288;105524509-105532001;105532067-105533602;105533691-105534662;105534846-105539974;105540103-105541632;105541766-105545222;105545336-105547148;105547285-105547389;105547524-105550126;105550260-105552143;105552183-105552467;105552586-105571851;105571965-105574476	961	3740	11	0.003	1.0000	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes:1|HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes:3|HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes:1|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:4|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes:2
ALCAM:0676425f	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	69426	1109	0	1106	3	0	0	0	0	1109	0.0	ALCAM	ALCAM	NM_001627.4	NOVEL_APA	OVERLAP	105575939	105367482-105520066;105520168-105524288;105524509-105532001;105532067-105533602;105533691-105534662;105534846-105539974;105540103-105541632;105541766-105545222;105545336-105547148;105547285-105547389;105547524-105550126;105550260-105552143;105552183-105552467;105552586-105571851;105571965-105574476	105576900	105367482-105520066;105520168-105524288;105524509-105532001;105532067-105533602;105533691-105534662;105534846-105539974;105540103-105541632;105541766-105545222;105545336-105547148;105547285-105547389;105547524-105550126;105550260-105552143;105552183-105552467;105552586-105571851;105571965-105574476	961	3740	11	0.003	1.0000	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes:1|HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes:3|HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes:1|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:4|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes:2
ALCAM:0676425f	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	17802	929	1	928	0	0	0	0	0	929	0.001076	ALCAM	ALCAM	NM_001627.4	NOVEL_APA	OVERLAP	105575939	105367482-105520066;105520168-105524288;105524509-105532001;105532067-105533602;105533691-105534662;105534846-105539974;105540103-105541632;105541766-105545222;105545336-105547148;105547285-105547389;105547524-105550126;105550260-105552143;105552183-105552467;105552586-105571851;105571965-105574476	105576900	105367482-105520066;105520168-105524288;105524509-105532001;105532067-105533602;105533691-105534662;105534846-105539974;105540103-105541632;105541766-105545222;105545336-105547148;105547285-105547389;105547524-105550126;105550260-105552143;105552183-105552467;105552586-105571851;105571965-105574476	961	3740	11	0.003	1.0000	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes:1|HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes:3|HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes:1|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:4|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes:2
ALCAM:0676425f	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	19227	929	0	928	1	0	0	0	0	929	0.0	ALCAM	ALCAM	NM_001627.4	NOVEL_APA	OVERLAP	105575939	105367482-105520066;105520168-105524288;105524509-105532001;105532067-105533602;105533691-105534662;105534846-105539974;105540103-105541632;105541766-105545222;105545336-105547148;105547285-105547389;105547524-105550126;105550260-105552143;105552183-105552467;105552586-105571851;105571965-105574476	105576900	105367482-105520066;105520168-105524288;105524509-105532001;105532067-105533602;105533691-105534662;105534846-105539974;105540103-105541632;105541766-105545222;105545336-105547148;105547285-105547389;105547524-105550126;105550260-105552143;105552183-105552467;105552586-105571851;105571965-105574476	961	3740	11	0.003	1.0000	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes:1|HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes:3|HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes:1|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:4|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes:2
ALCAM:0676425f	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	m	696	0	696	0	0	0	0	0	696	0.0	ALCAM	ALCAM	NM_001627.4	NOVEL_APA	OVERLAP	105575939	105367482-105520066;105520168-105524288;105524509-105532001;105532067-105533602;105533691-105534662;105534846-105539974;105540103-105541632;105541766-105545222;105545336-105547148;105547285-105547389;105547524-105550126;105550260-105552143;105552183-105552467;105552586-105571851;105571965-105574476	105576900	105367482-105520066;105520168-105524288;105524509-105532001;105532067-105533602;105533691-105534662;105534846-105539974;105540103-105541632;105541766-105545222;105545336-105547148;105547285-105547389;105547524-105550126;105550260-105552143;105552183-105552467;105552586-105571851;105571965-105574476	961	3740	11	0.003	1.0000	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes:1|HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes:3|HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes:1|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:4|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes:2
ALCAM:0676425f	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	19228	696	0	696	0	0	0	0	0	696	0.0	ALCAM	ALCAM	NM_001627.4	NOVEL_APA	OVERLAP	105575939	105367482-105520066;105520168-105524288;105524509-105532001;105532067-105533602;105533691-105534662;105534846-105539974;105540103-105541632;105541766-105545222;105545336-105547148;105547285-105547389;105547524-105550126;105550260-105552143;105552183-105552467;105552586-105571851;105571965-105574476	105576900	105367482-105520066;105520168-105524288;105524509-105532001;105532067-105533602;105533691-105534662;105534846-105539974;105540103-105541632;105541766-105545222;105545336-105547148;105547285-105547389;105547524-105550126;105550260-105552143;105552183-105552467;105552586-105571851;105571965-105574476	961	3740	11	0.003	1.0000	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes:1|HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes:3|HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes:1|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:4|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes:2
ALCAM:21b43d96	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	m	4626	1	4623	2	65	379	168	0	992	0.000216	ALCAM	ALCAM	NM_001627.4	NOVEL_CHAIN	TES_TOL	105576891	105367482-105520066;105520168-105524288;105524509-105532001;105532067-105533602;105533691-105534662;105534846-105539974;105540103-105541632;105541766-105545222;105545336-105547148;105547285-105547389;105547528-105550126;105550260-105552143;105552183-105552467;105552586-105571851;105571965-105574476	105576900	105367482-105520066;105520168-105524288;105524509-105532001;105532067-105533602;105533691-105534662;105534846-105539974;105540103-105541632;105541766-105545222;105545336-105547148;105547285-105547389;105547524-105550126;105550260-105552143;105552183-105552467;105552586-105571851;105571965-105574476	9	4692	19	0.004	0.8947	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes:6|HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes:6|HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes:4|HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes:1|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:1|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes:1
ALCAM:21b43d96	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	19228	4626	2	4623	1	65	379	168	0	992	0.000432	ALCAM	ALCAM	NM_001627.4	NOVEL_CHAIN	TES_TOL	105576891	105367482-105520066;105520168-105524288;105524509-105532001;105532067-105533602;105533691-105534662;105534846-105539974;105540103-105541632;105541766-105545222;105545336-105547148;105547285-105547389;105547528-105550126;105550260-105552143;105552183-105552467;105552586-105571851;105571965-105574476	105576900	105367482-105520066;105520168-105524288;105524509-105532001;105532067-105533602;105533691-105534662;105534846-105539974;105540103-105541632;105541766-105545222;105545336-105547148;105547285-105547389;105547524-105550126;105550260-105552143;105552183-105552467;105552586-105571851;105571965-105574476	9	4692	19	0.004	0.8947	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes:6|HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes:6|HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes:4|HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes:1|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:1|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes:1
ALCAM:21b43d96	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	17802	6908	4	6901	3	113	439	203	0	1364	0.000579	ALCAM	ALCAM	NM_001627.4	NOVEL_CHAIN	TES_TOL	105576891	105367482-105520066;105520168-105524288;105524509-105532001;105532067-105533602;105533691-105534662;105534846-105539974;105540103-105541632;105541766-105545222;105545336-105547148;105547285-105547389;105547528-105550126;105550260-105552143;105552183-105552467;105552586-105571851;105571965-105574476	105576900	105367482-105520066;105520168-105524288;105524509-105532001;105532067-105533602;105533691-105534662;105534846-105539974;105540103-105541632;105541766-105545222;105545336-105547148;105547285-105547389;105547524-105550126;105550260-105552143;105552183-105552467;105552586-105571851;105571965-105574476	9	4692	19	0.004	0.8947	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes:6|HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes:6|HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes:4|HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes:1|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:1|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes:1
ALCAM:21b43d96	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	19227	6908	3	6901	4	113	439	203	0	1364	0.000434	ALCAM	ALCAM	NM_001627.4	NOVEL_CHAIN	TES_TOL	105576891	105367482-105520066;105520168-105524288;105524509-105532001;105532067-105533602;105533691-105534662;105534846-105539974;105540103-105541632;105541766-105545222;105545336-105547148;105547285-105547389;105547528-105550126;105550260-105552143;105552183-105552467;105552586-105571851;105571965-105574476	105576900	105367482-105520066;105520168-105524288;105524509-105532001;105532067-105533602;105533691-105534662;105534846-105539974;105540103-105541632;105541766-105545222;105545336-105547148;105547285-105547389;105547524-105550126;105550260-105552143;105552183-105552467;105552586-105571851;105571965-105574476	9	4692	19	0.004	0.8947	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes:6|HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes:6|HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes:4|HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes:1|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes:1|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes:1
