chrom	start0	end0	strand	ZN_transcript_index	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes
chr3	105366682	105366683	+	1	0.0	0.0	0.0	0.0	0.0	5.0
chr3	105366685	105366686	+	1	8.0	0.0	0.0	0.0	0.0	8.0
chr3	105366692	105366693	+	1	8.0	0.0	0.0	0.0	0.0	8.0
chr3	105366703	105366704	+	1	21.0	0.0	8.0	0.0	16.0	15.0
chr3	105366703	105366704	+	4	0.0	0.0	0.0	0.0	5.0	0.0
chr3	105366706	105366707	+	1	21.0	0.0	24.0	0.0	16.0	16.0
chr3	105366706	105366707	+	2	5.0	0.0	0.0	0.0	8.0	0.0
chr3	105366706	105366707	+	4	0.0	0.0	0.0	0.0	8.0	0.0
chr3	105366714	105366715	+	1	29.0	8.0	29.0	0.0	10.0	16.0
chr3	105366714	105366715	+	2	8.0	0.0	0.0	0.0	8.0	0.0
chr3	105366714	105366715	+	4	0.0	0.0	0.0	0.0	5.0	0.0
chr3	105366729	105366730	+	1	53.0	50.0	45.0	8.0	24.0	16.0
chr3	105366729	105366730	+	2	16.0	0.0	16.0	0.0	8.0	8.0
chr3	105366729	105366730	+	4	0.0	0.0	8.0	0.0	7.0	0.0
chr3	105366730	105366731	+	1	5.0	0.0	0.0	0.0	0.0	0.0
chr3	105366736	105366737	+	1	103.0	88.0	56.0	16.0	40.0	16.0
chr3	105366736	105366737	+	2	13.0	8.0	23.0	0.0	8.0	8.0
chr3	105366736	105366737	+	3	0.0	0.0	0.0	8.0	0.0	0.0
chr3	105366736	105366737	+	4	0.0	0.0	8.0	0.0	8.0	0.0
chr3	105366746	105366747	+	1	128.0	117.0	77.0	13.0	37.0	16.0
chr3	105366746	105366747	+	2	16.0	5.0	21.0	0.0	7.0	8.0
chr3	105366746	105366747	+	3	0.0	0.0	0.0	5.0	0.0	0.0
chr3	105366746	105366747	+	4	0.0	0.0	8.0	0.0	7.0	0.0
chr3	105366755	105366756	+	1	135.0	106.0	87.0	16.0	39.0	15.0
chr3	105366755	105366756	+	2	16.0	8.0	24.0	0.0	8.0	8.0
chr3	105366755	105366756	+	3	0.0	0.0	0.0	5.0	0.0	0.0
chr3	105366755	105366756	+	4	0.0	0.0	8.0	0.0	8.0	0.0
chr3	105366759	105366760	+	1	133.0	120.0	85.0	16.0	40.0	16.0
chr3	105366759	105366760	+	2	16.0	8.0	24.0	0.0	8.0	8.0
chr3	105366759	105366760	+	3	0.0	0.0	0.0	8.0	0.0	0.0
chr3	105366759	105366760	+	4	0.0	0.0	8.0	0.0	8.0	0.0
chr3	105366767	105366768	+	1	127.0	114.0	83.0	16.0	40.0	13.0
chr3	105366767	105366768	+	2	16.0	8.0	18.0	0.0	16.0	8.0
chr3	105366767	105366768	+	3	0.0	0.0	0.0	5.0	5.0	0.0
chr3	105366767	105366768	+	4	0.0	0.0	8.0	0.0	8.0	0.0
chr3	105366773	105366774	+	1	0.0	5.0	0.0	0.0	0.0	0.0
chr3	105366776	105366777	+	1	114.0	110.0	98.0	8.0	39.0	16.0
chr3	105366776	105366777	+	2	16.0	8.0	24.0	0.0	16.0	8.0
chr3	105366776	105366777	+	3	0.0	0.0	0.0	5.0	8.0	0.0
chr3	105366776	105366777	+	4	0.0	0.0	8.0	0.0	8.0	0.0
chr3	105366777	105366778	+	1	5.0	0.0	0.0	0.0	0.0	0.0
