chrom	start0	end0	strand	ZN_transcript_index	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes
chr18	23483141	23483142	+	1	0.0	8.0	0.0	8.0	42.0	20.0
chr18	23483141	23483142	+	3	0.0	0.0	0.0	23.0	8.0	6.0
chr18	23483141	23483142	+	5	0.0	0.0	0.0	8.0	0.0	0.0
chr18	23483142	23483143	+	1	0.0	8.0	0.0	6.0	22.0	0.0
chr18	23483142	23483143	+	3	0.0	0.0	0.0	0.0	6.0	0.0
chr18	23483142	23483143	+	5	0.0	0.0	0.0	7.0	0.0	0.0
chr2	69942945	69942946	+	2	8.0	0.0	0.0	0.0	0.0	8.0
chr2	69942946	69942947	+	2	8.0	0.0	0.0	0.0	0.0	8.0
chr2	69942947	69942948	+	2	8.0	0.0	0.0	0.0	0.0	8.0
chr2	69942948	69942949	+	2	8.0	0.0	0.0	0.0	0.0	8.0
chr2	69942951	69942952	+	2	8.0	0.0	0.0	0.0	0.0	8.0
chr2	69942953	69942954	+	2	8.0	0.0	0.0	0.0	0.0	8.0
chr2	69942954	69942955	+	2	8.0	0.0	0.0	0.0	0.0	8.0
chr2	69942955	69942956	+	2	8.0	0.0	0.0	0.0	0.0	8.0
chr2	69942957	69942958	+	2	0.0	0.0	0.0	0.0	0.0	8.0
chr3	105576892	105576893	+	1	620.0	971.0	678.0	226.0	460.0	264.0
chr3	105576892	105576893	+	2	96.0	102.0	142.0	64.0	88.0	24.0
chr3	105576894	105576895	+	1	606.0	965.0	661.0	222.0	444.0	261.0
chr3	105576894	105576895	+	2	86.0	102.0	136.0	60.0	84.0	24.0
chr3	105576896	105576897	+	1	584.0	924.0	608.0	212.0	429.0	246.0
chr3	105576896	105576897	+	2	90.0	103.0	135.0	58.0	88.0	24.0
chr3	105576897	105576898	+	1	510.0	901.0	564.0	161.0	397.0	223.0
chr3	105576897	105576898	+	2	81.0	92.0	130.0	54.0	80.0	24.0
chr3	105576898	105576899	+	1	0.0	8.0	6.0	0.0	0.0	0.0
chr3	105576899	105576900	+	1	8.0	0.0	0.0	0.0	0.0	0.0
chr3	105576904	105576905	+	1	216.0	421.0	270.0	80.0	182.0	116.0
chr3	105576904	105576905	+	2	38.0	38.0	36.0	8.0	40.0	0.0
chr3	105576906	105576907	+	1	80.0	76.0	56.0	22.0	32.0	28.0
chr3	105576906	105576907	+	2	6.0	16.0	8.0	0.0	24.0	0.0
