#chrom	tes_1based	strand	intron_chain_tx_order	n_introns	read_support	frac_global	polya_support_frac	median_mapq	median_tail_len	median_tail_purity	n_unique_chains	n_full_length_reads	included_trunc	sample_counts	chain_counts	kept
chr2	69918409	+	69915404-69916120;69916221-69918251	2	9	0.0134	0.7778	60.0	25.0	0.781	1	9	0	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_MXD1_chr2_69915109_69942945:3|HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_MXD1_chr2_69915109_69942945:2|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_MXD1_chr2_69915109_69942945:2|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_MXD1_chr2_69915109_69942945:2	69915404-69916120;69916221-69918251:9	0
chr2	69918409	+	69915404-69916120;69916229-69918251	2	1	0.0015	1.0000	60.0	16.0	0.938	1	1	0	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_MXD1_chr2_69915109_69942945:1	69915404-69916120;69916229-69918251:1	0
chr2	69919062	+	69915404-69916120;69916221-69918251	2	1	0.0015	1.0000	60.0	64.0	0.703	1	1	0	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_MXD1_chr2_69915109_69942945:1	69915404-69916120;69916221-69918251:1	0
chr2	69922503	+	69915404-69916120;69916221-69921735;69921766-69922201	3	1	0.0015	1.0000	60.0	61.0	0.721	1	1	0	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_MXD1_chr2_69915109_69942945:1	69915404-69916120;69916221-69921735;69921766-69922201:1	0
chr2	69924140	+	69915404-69916120;69916221-69921735;69921766-69923998	3	1	0.0015	0.0000	60.0	38.0	0.368	1	1	0	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_MXD1_chr2_69915109_69942945:1	69915404-69916120;69916221-69921735;69921766-69923998:1	0
chr2	69924777	+	69830153-69837546;69837671-69839456;69839554-69840941;69841040-69843148;69843262-69844130;69844197-69847542;69847628-69849651;69849743-69854822;69854961-69861277;69861348-69864899;69864976-69869718;69869865-69871744;69871833-69878908;69879583-69924761	14	1	0.0015	0.0000	60.0	990.0	0.344	1	1	0	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_MXD1_chr2_69915109_69942945:1	69830153-69837546;69837671-69839456;69839554-69840941;69841040-69843148;69843262-69844130;69844197-69847542;69847628-69849651;69849743-69854822;69854961-69861277;69861348-69864899;69864976-69869718;69869865-69871744;69871833-69878908;69879583-69924761:1	0
chr2	69925652	+	69915404-69916120;69916221-69921735;69921766-69923806;69923920-69924925	4	1	0.0015	1.0000	60.0	43.0	0.860	1	1	0	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_MXD1_chr2_69915109_69942945:1	69915404-69916120;69916221-69921735;69921766-69923806;69923920-69924925:1	0
chr2	69926082	+	69915404-69916120;69916221-69921735;69921766-69924925	3	1	0.0015	1.0000	60.0	48.0	0.667	1	1	0	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_MXD1_chr2_69915109_69942945:1	69915404-69916120;69916221-69921735;69921766-69924925:1	0
chr2	69929227	+	69915404-69916123;69916221-69921735;69921766-69928914	3	1	0.0015	1.0000	60.0	32.0	1.000	1	1	0	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_MXD1_chr2_69915109_69942945:1	69915404-69916123;69916221-69921735;69921766-69928914:1	0
chr2	69930084	+	69830153-69837546;69837671-69839456;69839508-69930049	3	1	0.0015	1.0000	60.0	60.0	0.600	1	1	0	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_MXD1_chr2_69915109_69942945:1	69830153-69837546;69837671-69839456;69839508-69930049:1	0
chr2	69930502	+	69915404-69916120;69916221-69921735;69921766-69930350	3	1	0.0015	1.0000	60.0	27.0	0.778	1	1	0	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_MXD1_chr2_69915109_69942945:1	69915404-69916120;69916221-69921735;69921766-69930350:1	0
chr2	69930620	+	69905190-69930599	1	1	0.0015	1.0000	60.0	133.0	0.669	1	1	0	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_MXD1_chr2_69915109_69942945:1	69905190-69930599:1	0
chr2	69933293	+	69915404-69916120;69916221-69921735;69921766-69932931	3	1	0.0015	1.0000	60.0	26.0	1.000	1	1	0	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_MXD1_chr2_69915109_69942945:1	69915404-69916120;69916221-69921735;69921766-69932931:1	0
chr2	69938262	+	69915404-69916120;69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096	5	28	0.0415	1.0000	60.0	62.5	0.769	4	24	1	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_MXD1_chr2_69915109_69942945:3|HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_MXD1_chr2_69915109_69942945:7|HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_MXD1_chr2_69915109_69942945:12|HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_MXD1_chr2_69915109_69942945:6	69915404-69916120;69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096:24|69916221-69921735;69921766-69935350;69935466-69937234;69937395-69938096:1|69935466-69937234;69937395-69938096:1|69937395-69938096:2	0
