chrom	start0	end0	strand	ZN_transcript_index	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes
chr3	105366682	105366683	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366685	105366686	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366692	105366693	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366703	105366704	+	1	5.0	0.0	0.0	0.0	0.0	7.0
chr3	105366703	105366704	+	4	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366706	105366707	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366706	105366707	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366706	105366707	+	4	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366714	105366715	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366714	105366715	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366714	105366715	+	4	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366729	105366730	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366729	105366730	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366729	105366730	+	4	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366730	105366731	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366736	105366737	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366736	105366737	+	2	0.0	0.0	7.0	0.0	0.0	0.0
chr3	105366736	105366737	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366736	105366737	+	4	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366746	105366747	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366746	105366747	+	2	0.0	0.0	0.0	0.0	7.0	0.0
chr3	105366746	105366747	+	3	0.0	0.0	0.0	5.0	0.0	0.0
