gene_name	gene_id	mod_code	chrom	start0	end0	strand	ZN_transcript_index	sample	Nvalid_cov	Nmod	Ncanonical	Nother_mod	Ndelete	Nfail	Ndiff	Nnocall	frac_modified
		m	chr2	69942952	69942953	+	2	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	8	0	8	0	0	0	0	0	0.0
		m	chr2	69942952	69942953	+	2	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes	8	0	8	0	0	0	0	0	0.0
		m	chr2	69942956	69942957	+	2	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	6	0	6	0	0	0	0	0	0.0
		m	chr2	69942956	69942957	+	2	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes	8	0	8	0	0	0	0	0	0.0
		m	chr3	105576895	105576896	+	1	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	599	0	586	13	0	17	0	0	0.0
		m	chr3	105576895	105576896	+	1	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes	947	0	910	37	8	29	0	0	0.0
		m	chr3	105576895	105576896	+	1	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes	641	0	584	57	0	31	0	0	0.0
		m	chr3	105576895	105576896	+	1	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	226	0	220	6	0	6	0	0	0.0
		m	chr3	105576895	105576896	+	1	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes	433	0	408	25	0	23	0	0	0.0
		m	chr3	105576895	105576896	+	1	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes	248	0	236	12	0	16	0	0	0.0
		m	chr3	105576895	105576896	+	2	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	85	0	72	13	8	3	0	0	0.0
		m	chr3	105576895	105576896	+	2	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes	102	0	96	6	0	2	0	0	0.0
		m	chr3	105576895	105576896	+	2	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes	138	0	132	6	0	6	0	0	0.0
		m	chr3	105576895	105576896	+	2	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	58	0	52	6	0	6	0	0	0.0
		m	chr3	105576895	105576896	+	2	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes	87	0	80	7	0	1	0	0	0.0
		m	chr3	105576895	105576896	+	2	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes	22	0	22	0	0	2	0	0	0.0
		m	chr3	105576898	105576899	+	1	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	512	0	506	6	0	8	0	0	0.0
		m	chr3	105576898	105576899	+	1	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes	869	0	850	19	0	19	8	0	0.0
		m	chr3	105576898	105576899	+	1	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes	560	0	548	12	8	10	6	0	0.0
