chrom	start0	end0	strand	ZN_transcript_index	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes
chr2	69942952	69942953	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69942956	69942957	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105576895	105576896	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105576895	105576896	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105576898	105576899	+	1	0.0	0.0	0.0	0.0	0.014778	0.0
chr3	105576898	105576899	+	2	0.0	0.06383	0.0	0.0	0.0	0.0
chr3	105576900	105576901	+	1	0.0	0.014151	0.042857	0.146341	0.065327	0.0
chr3	105576900	105576901	+	2	0.272727	0.0	0.0	0.0	0.0	0.0
chr3	105576905	105576906	+	1	0.09375	0.075949	0.055046	0.1	0.0	0.065217
chr3	105576905	105576906	+	2	0.333333	0.214286	0.166667	0.0	0.157895	0.0
chr3	105576907	105576908	+	1	0.0	0.0	0.36	0.0	0.206897	0.0
chr3	105576907	105576908	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105576908	105576909	+	1	0.0	0.0	0.0	0.0	0.2	0.0
chr3	105576908	105576909	+	2	0.0	0.428571	0.0	0.0	0.0	0.0
chr3	105576909	105576910	+	1	0.176471	0.193548	0.176471	0.0	0.2	0.0
chr3	105576909	105576910	+	2	0.0	0.0	0.0	0.0	0.0	0.0
