chrom	start0	end0	strand	ZN_transcript_index	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes
chr2	69942952	69942953	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr2	69942956	69942957	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105576895	105576896	+	1	0.021703	0.039071	0.088924	0.026549	0.057737	0.048387
chr3	105576895	105576896	+	2	0.152941	0.058824	0.043478	0.103448	0.08046	0.0
chr3	105576898	105576899	+	1	0.011719	0.021864	0.021429	0.0	0.0	0.030837
chr3	105576898	105576899	+	2	0.0	0.0	0.0	0.111111	0.0	0.0
chr3	105576900	105576901	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105576900	105576901	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105576905	105576906	+	1	0.0	0.0	0.0	0.0	0.0	0.065217
chr3	105576905	105576906	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105576907	105576908	+	1	0.0	0.0	0.0	0.0	0.241379	0.428571
chr3	105576907	105576908	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105576908	105576909	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105576908	105576909	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105576909	105576910	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105576909	105576910	+	2	0.0	0.0	0.0	0.0	0.0	0.0
