gene_name	gene_id	mod_code	chrom	start0	end0	strand	ZN_transcript_index	sample	Nvalid_cov	Nmod	Ncanonical	Nother_mod	Ndelete	Nfail	Ndiff	Nnocall	frac_modified
		a	chr2	69942959	69942960	+	2	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes	8	0	8	0	0	0	0	0	0.0
		a	chr3	105576899	105576900	+	1	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	476	15	461	0	0	36	8	0	0.031513
		a	chr3	105576899	105576900	+	1	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes	820	5	808	7	0	52	0	0	0.006098
		a	chr3	105576899	105576900	+	1	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes	550	17	533	0	0	34	0	0	0.030909
		a	chr3	105576899	105576900	+	1	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	141	7	134	0	0	19	0	0	0.049645
		a	chr3	105576899	105576900	+	1	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes	380	0	380	0	0	36	0	0	0.0
		a	chr3	105576899	105576900	+	1	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes	205	0	205	0	0	27	0	0	0.0
		a	chr3	105576899	105576900	+	2	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	68	10	58	0	0	12	0	0	0.147059
		a	chr3	105576899	105576900	+	2	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes	81	10	71	0	0	15	0	0	0.123457
		a	chr3	105576899	105576900	+	2	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes	110	0	110	0	0	18	0	0	0.0
		a	chr3	105576899	105576900	+	2	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	53	0	53	0	0	3	0	0	0.0
		a	chr3	105576899	105576900	+	2	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes	82	0	82	0	0	6	0	0	0.0
		a	chr3	105576899	105576900	+	2	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes	21	0	21	0	0	3	0	0	0.0
		a	chr3	105576901	105576902	+	1	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	218	0	218	0	0	6	0	0	0.0
		a	chr3	105576901	105576902	+	1	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes	434	0	434	0	0	6	0	0	0.0
		a	chr3	105576901	105576902	+	1	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes	277	27	250	0	0	19	0	0	0.097473
		a	chr3	105576901	105576902	+	1	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	78	7	71	0	0	10	0	0	0.089744
		a	chr3	105576901	105576902	+	1	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes	202	8	194	0	0	6	0	0	0.039604
		a	chr3	105576901	105576902	+	1	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes	124	10	109	5	0	12	0	0	0.080645
		a	chr3	105576901	105576902	+	2	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	42	0	42	0	0	6	0	0	0.0
		a	chr3	105576901	105576902	+	2	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes	37	0	37	0	0	3	0	0	0.0
		a	chr3	105576901	105576902	+	2	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes	40	0	40	0	0	0	0	0	0.0
		a	chr3	105576901	105576902	+	2	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	8	0	8	0	0	0	0	0	0.0
		a	chr3	105576901	105576902	+	2	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes	40	0	40	0	0	0	0	0	0.0
		a	chr3	105576910	105576911	+	1	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	63	0	63	0	0	9	0	0	0.0
		a	chr3	105576910	105576911	+	1	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes	60	0	60	0	0	12	0	0	0.0
		a	chr3	105576910	105576911	+	1	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes	34	0	34	0	0	6	0	0	0.0
		a	chr3	105576910	105576911	+	1	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	16	0	16	0	0	0	0	0	0.0
		a	chr3	105576910	105576911	+	1	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes	26	0	26	0	0	6	0	0	0.0
		a	chr3	105576910	105576911	+	1	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes	16	0	16	0	0	0	0	0	0.0
		a	chr3	105576910	105576911	+	2	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes	8	0	8	0	0	0	0	0	0.0
		a	chr3	105576910	105576911	+	2	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes	18	0	18	0	0	6	0	0	0.0
