chrom	start0	end0	strand	ZN_transcript_index	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes
chr18	23452857	23452858	+	1	0.0	0.0	0.0	0.0	1.0	0.0
chr18	23452872	23452873	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr18	23452872	23452873	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr18	23452874	23452875	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr18	23452874	23452875	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr18	23452875	23452876	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr18	23452875	23452876	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr18	23452876	23452877	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr18	23452876	23452877	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr18	23452897	23452898	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr18	23452897	23452898	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr18	23452898	23452899	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr18	23452898	23452899	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr18	23452902	23452903	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr18	23452902	23452903	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr18	23452907	23452908	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr18	23452907	23452908	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr18	23452912	23452913	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr18	23452912	23452913	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr18	23452914	23452915	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr18	23452914	23452915	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr18	23452915	23452916	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr18	23452915	23452916	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr18	23452923	23452924	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr18	23452923	23452924	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr18	23452926	23452927	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr18	23452926	23452927	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr18	23452927	23452928	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr18	23452927	23452928	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr18	23452928	23452929	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr18	23452928	23452929	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr18	23452930	23452931	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr18	23452930	23452931	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr18	23452931	23452932	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr18	23452931	23452932	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr18	23452934	23452935	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr18	23452934	23452935	+	2	0.0	0.0	0.0	0.0	0.0	0.0
