chrom	start0	end0	strand	ZN_transcript_index	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes
chr2	69914330	69914331	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914343	69914344	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914346	69914347	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914351	69914352	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914367	69914368	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914373	69914374	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914382	69914383	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914383	69914384	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914388	69914389	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914390	69914391	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914391	69914392	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914397	69914398	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914409	69914410	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914412	69914413	+	1	0.0	0.0	0.0	7.0	0.0	0.0
chr2	69914414	69914415	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914418	69914419	+	1	0.0	0.0	0.0	5.0	0.0	0.0
chr2	69914433	69914434	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914434	69914435	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914438	69914439	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914439	69914440	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914447	69914448	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914449	69914450	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914456	69914457	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914461	69914462	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914463	69914464	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914466	69914467	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914473	69914474	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914481	69914482	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914486	69914487	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914490	69914491	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914499	69914500	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914509	69914510	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914510	69914511	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914524	69914525	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914526	69914527	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914536	69914537	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914537	69914538	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914539	69914540	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914546	69914547	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914550	69914551	+	1	0.0	0.0	0.0	5.0	0.0	0.0
chr2	69914551	69914552	+	1	0.0	0.0	0.0	5.0	0.0	0.0
chr2	69914556	69914557	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914562	69914563	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914565	69914566	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914567	69914568	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914575	69914576	+	1	0.0	0.0	0.0	7.0	0.0	0.0
chr2	69914586	69914587	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914587	69914588	+	1	0.0	0.0	0.0	8.0	0.0	0.0
