chrom	start0	end0	strand	ZN_transcript_index	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes
chr2	69914329	69914330	+	1	0.0	0.0	0.0	6.0	0.0	0.0
chr2	69914331	69914332	+	1	0.0	0.0	0.0	6.0	0.0	0.0
chr2	69914332	69914333	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914334	69914335	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914339	69914340	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914349	69914350	+	1	0.0	0.0	0.0	6.0	0.0	0.0
chr2	69914354	69914355	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914359	69914360	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914360	69914361	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914361	69914362	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914363	69914364	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914365	69914366	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914366	69914367	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914369	69914370	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914370	69914371	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914371	69914372	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914377	69914378	+	1	0.0	0.0	0.0	6.0	0.0	0.0
chr2	69914378	69914379	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914380	69914381	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914385	69914386	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914387	69914388	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914395	69914396	+	1	0.0	0.0	0.0	6.0	0.0	0.0
chr2	69914396	69914397	+	1	0.0	0.0	0.0	7.0	0.0	0.0
chr2	69914407	69914408	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914408	69914409	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914410	69914411	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914411	69914412	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914415	69914416	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914416	69914417	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914422	69914423	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914424	69914425	+	1	0.0	0.0	0.0	6.0	0.0	0.0
chr2	69914425	69914426	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914428	69914429	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914429	69914430	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914430	69914431	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914431	69914432	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914435	69914436	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914436	69914437	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914437	69914438	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914441	69914442	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914446	69914447	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914451	69914452	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914453	69914454	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914454	69914455	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914455	69914456	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914459	69914460	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914462	69914463	+	1	0.0	0.0	0.0	6.0	0.0	0.0
chr2	69914464	69914465	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914471	69914472	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914472	69914473	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914475	69914476	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914476	69914477	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914479	69914480	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914480	69914481	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914484	69914485	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914491	69914492	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914493	69914494	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914494	69914495	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914498	69914499	+	1	0.0	0.0	0.0	6.0	0.0	0.0
chr2	69914503	69914504	+	1	0.0	0.0	0.0	6.0	0.0	0.0
chr2	69914504	69914505	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914505	69914506	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914506	69914507	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914516	69914517	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914517	69914518	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914518	69914519	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914519	69914520	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914525	69914526	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914530	69914531	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914535	69914536	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914538	69914539	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914543	69914544	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914544	69914545	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914549	69914550	+	1	0.0	0.0	0.0	6.0	0.0	0.0
chr2	69914564	69914565	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914569	69914570	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914571	69914572	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914572	69914573	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914574	69914575	+	1	0.0	0.0	0.0	6.0	0.0	0.0
chr2	69914577	69914578	+	1	0.0	0.0	0.0	6.0	0.0	0.0
chr2	69914578	69914579	+	1	0.0	0.0	0.0	6.0	0.0	0.0
chr2	69914589	69914590	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914592	69914593	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914594	69914595	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914595	69914596	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914597	69914598	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914598	69914599	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914599	69914600	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914602	69914603	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914604	69914605	+	1	0.0	0.0	0.0	6.0	0.0	0.0
chr2	69914605	69914606	+	1	0.0	0.0	0.0	6.0	0.0	0.0
chr2	69914609	69914610	+	1	0.0	0.0	0.0	6.0	0.0	0.0
chr2	69914610	69914611	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914613	69914614	+	1	0.0	0.0	0.0	6.0	0.0	0.0
chr2	69914614	69914615	+	1	0.0	0.0	0.0	6.0	0.0	0.0
chr2	69914615	69914616	+	1	0.0	0.0	0.0	6.0	0.0	0.0
chr2	69914616	69914617	+	1	0.0	0.0	0.0	6.0	0.0	0.0
chr2	69914617	69914618	+	1	0.0	0.0	0.0	6.0	0.0	0.0
chr2	69914618	69914619	+	1	0.0	0.0	0.0	6.0	0.0	0.0
chr2	69914619	69914620	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914622	69914623	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914623	69914624	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914628	69914629	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914629	69914630	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914633	69914634	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914634	69914635	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914635	69914636	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914645	69914646	+	1	0.0	0.0	0.0	6.0	0.0	0.0
chr2	69914648	69914649	+	1	0.0	0.0	0.0	6.0	0.0	0.0
chr2	69914649	69914650	+	1	0.0	0.0	0.0	6.0	0.0	0.0
chr2	69914653	69914654	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914656	69914657	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914660	69914661	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914661	69914662	+	1	0.0	0.0	0.0	6.0	0.0	0.0
chr2	69914664	69914665	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914667	69914668	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914668	69914669	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914670	69914671	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914677	69914678	+	1	0.0	0.0	0.0	6.0	0.0	0.0
chr2	69914679	69914680	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914681	69914682	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914682	69914683	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914686	69914687	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914687	69914688	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914701	69914702	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914704	69914705	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914707	69914708	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914712	69914713	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914723	69914724	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914724	69914725	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914730	69914731	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914733	69914734	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914735	69914736	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914736	69914737	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914746	69914747	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914747	69914748	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914750	69914751	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914757	69914758	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914761	69914762	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914762	69914763	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914765	69914766	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914768	69914769	+	1	0.0	0.0	0.0	8.0	0.0	0.0
chr2	69914771	69914772	+	1	0.0	0.0	0.0	8.0	0.0	0.0
