chrom	start0	end0	strand	ZN_transcript_index	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes
chr3	105366683	105366684	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366688	105366689	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366696	105366697	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366697	105366698	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366698	105366699	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366704	105366705	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366704	105366705	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366704	105366705	+	4	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366705	105366706	+	1	0.0	0.0	7.0	0.0	0.0	0.0
chr3	105366705	105366706	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366705	105366706	+	4	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366709	105366710	+	1	0.0	7.0	7.0	0.0	0.0	0.0
chr3	105366709	105366710	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366709	105366710	+	4	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366710	105366711	+	1	7.0	0.0	7.0	0.0	0.0	0.0
chr3	105366710	105366711	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366710	105366711	+	4	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366711	105366712	+	1	7.0	0.0	0.0	0.0	0.0	0.0
chr3	105366711	105366712	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366711	105366712	+	4	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366712	105366713	+	1	0.0	0.0	0.0	0.0	0.0	7.0
chr3	105366712	105366713	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366712	105366713	+	4	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366716	105366717	+	1	7.0	0.0	7.0	0.0	0.0	0.0
chr3	105366716	105366717	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366716	105366717	+	4	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366718	105366719	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366718	105366719	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366718	105366719	+	4	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366719	105366720	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366719	105366720	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366719	105366720	+	4	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366728	105366729	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366728	105366729	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366728	105366729	+	4	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366731	105366732	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366734	105366735	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366734	105366735	+	2	0.0	7.0	0.0	0.0	0.0	0.0
chr3	105366734	105366735	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366734	105366735	+	4	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366735	105366736	+	1	7.0	7.0	0.0	0.0	0.0	0.0
chr3	105366735	105366736	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366735	105366736	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366735	105366736	+	4	0.0	0.0	7.0	0.0	0.0	0.0
chr3	105366737	105366738	+	1	14.0	7.0	7.0	7.0	0.0	0.0
chr3	105366737	105366738	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366737	105366738	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366737	105366738	+	4	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366740	105366741	+	1	7.0	0.0	0.0	0.0	0.0	7.0
chr3	105366740	105366741	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366740	105366741	+	3	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366740	105366741	+	4	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366741	105366742	+	1	0.0	0.0	0.0	0.0	7.0	0.0
chr3	105366741	105366742	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366741	105366742	+	3	0.0	0.0	0.0	0.0	0.0	0.0
