chrom	start0	end0	strand	ZN_transcript_index	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes
chr2	69942952	69942953	+	2	8.0	0.0	0.0	0.0	0.0	8.0
chr2	69942956	69942957	+	2	6.0	0.0	0.0	0.0	0.0	8.0
chr3	105576895	105576896	+	1	599.0	947.0	641.0	226.0	433.0	248.0
chr3	105576895	105576896	+	2	85.0	102.0	138.0	58.0	87.0	22.0
chr3	105576898	105576899	+	1	512.0	869.0	560.0	158.0	406.0	227.0
chr3	105576898	105576899	+	2	78.0	94.0	124.0	54.0	88.0	22.0
chr3	105576900	105576901	+	1	222.0	424.0	280.0	82.0	199.0	134.0
chr3	105576900	105576901	+	2	44.0	38.0	38.0	8.0	38.0	0.0
chr3	105576905	105576906	+	1	192.0	316.0	218.0	60.0	156.0	92.0
chr3	105576905	105576906	+	2	36.0	28.0	36.0	8.0	38.0	0.0
chr3	105576907	105576908	+	1	78.0	66.0	50.0	14.0	29.0	14.0
chr3	105576907	105576908	+	2	0.0	16.0	8.0	0.0	24.0	0.0
chr3	105576908	105576909	+	1	78.0	70.0	48.0	16.0	30.0	16.0
chr3	105576908	105576909	+	2	0.0	14.0	0.0	0.0	24.0	0.0
chr3	105576909	105576910	+	1	68.0	62.0	34.0	16.0	30.0	16.0
chr3	105576909	105576910	+	2	0.0	8.0	0.0	0.0	24.0	0.0
