gene_name	gene_id	mod_code	chrom	start0	end0	strand	ZN_transcript_index	sample	Nvalid_cov	Nmod	Ncanonical	Nother_mod	Ndelete	Nfail	Ndiff	Nnocall	frac_modified
		19229	chr2	69942949	69942950	+	2	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	8	0	8	0	0	0	0	0	0.0
		19229	chr2	69942949	69942950	+	2	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes	8	0	8	0	0	0	0	0	0.0
		19229	chr2	69942950	69942951	+	2	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	8	0	8	0	0	0	0	0	0.0
		19229	chr2	69942950	69942951	+	2	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes	8	0	8	0	0	0	0	0	0.0
		19229	chr2	69942958	69942959	+	2	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes	8	0	8	0	0	0	0	0	0.0
		19229	chr3	105576893	105576894	+	1	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	615	0	615	0	0	1	0	0	0.0
		19229	chr3	105576893	105576894	+	1	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes	974	0	974	0	16	2	0	0	0.0
		19229	chr3	105576893	105576894	+	1	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes	678	0	678	0	0	2	0	0	0.0
		19229	chr3	105576893	105576894	+	1	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	228	21	207	0	0	4	0	0	0.092105
		19229	chr3	105576893	105576894	+	1	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes	463	0	463	0	0	1	0	0	0.0
		19229	chr3	105576893	105576894	+	1	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes	263	0	263	0	0	1	0	0	0.0
		19229	chr3	105576893	105576894	+	2	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	96	0	96	0	0	0	0	0	0.0
		19229	chr3	105576893	105576894	+	2	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes	104	0	104	0	0	0	0	0	0.0
		19229	chr3	105576893	105576894	+	2	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes	142	0	142	0	0	2	0	0	0.0
		19229	chr3	105576893	105576894	+	2	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	63	0	63	0	0	1	0	0	0.0
		19229	chr3	105576893	105576894	+	2	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes	88	0	88	0	0	0	0	0	0.0
		19229	chr3	105576893	105576894	+	2	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes	24	0	24	0	0	0	0	0	0.0
		19229	chr3	105576902	105576903	+	1	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	216	0	216	0	0	0	0	0	0.0
		19229	chr3	105576902	105576903	+	1	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes	424	0	424	0	0	0	0	0	0.0
		19229	chr3	105576902	105576903	+	1	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes	287	7	280	0	0	1	0	0	0.02439
		19229	chr3	105576902	105576903	+	1	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	88	0	88	0	0	0	0	0	0.0
		19229	chr3	105576902	105576903	+	1	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes	184	0	184	0	0	0	0	0	0.0
		19229	chr3	105576902	105576903	+	1	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes	120	0	120	0	0	0	0	0	0.0
		19229	chr3	105576902	105576903	+	2	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	39	0	39	0	0	1	0	0	0.0
		19229	chr3	105576902	105576903	+	2	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes	40	0	40	0	0	0	0	0	0.0
		19229	chr3	105576902	105576903	+	2	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes	38	7	31	0	0	2	0	0	0.184211
		19229	chr3	105576902	105576903	+	2	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	8	0	8	0	0	0	0	0	0.0
