chrom	start0	end0	strand	ZN_transcript_index	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes
chr3	105366690	105366691	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366693	105366694	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366700	105366701	+	1	0.0	0.0	0.0	0.0	1.0	1.0
chr3	105366720	105366721	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366720	105366721	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366720	105366721	+	4	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366721	105366722	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366721	105366722	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366721	105366722	+	4	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366722	105366723	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366723	105366724	+	1	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366723	105366724	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366723	105366724	+	4	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366727	105366728	+	1	0.0	0.179487	0.0	0.0	0.0	0.0
chr3	105366727	105366728	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366727	105366728	+	4	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366730	105366731	+	1	0.0	0.170732	0.0	0.0	0.0	0.428571
chr3	105366730	105366731	+	2	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366730	105366731	+	4	0.0	0.0	0.0	0.0	0.0	0.0
chr3	105366739	105366740	+	1	0.0	0.0	0.0	0.0	0.0	0.0
