gene_name	gene_id	mod_code	chrom	start0	end0	strand	ZN_transcript_index	sample	Nvalid_cov	Nmod	Ncanonical	Nother_mod	Ndelete	Nfail	Ndiff	Nnocall	frac_modified
MXD1	MXD1	19229	chr2	69914333	69914334	+	1	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	8	0	8	0	0	0	0	0	0.0
MXD1	MXD1	19229	chr2	69914340	69914341	+	1	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	8	0	8	0	0	0	0	0	0.0
MXD1	MXD1	19229	chr2	69914341	69914342	+	1	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	8	0	8	0	0	0	0	0	0.0
MXD1	MXD1	19229	chr2	69914342	69914343	+	1	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	8	0	8	0	0	0	0	0	0.0
MXD1	MXD1	19229	chr2	69914344	69914345	+	1	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	8	0	8	0	0	0	0	0	0.0
MXD1	MXD1	19229	chr2	69914345	69914346	+	1	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	8	0	8	0	0	0	0	0	0.0
MXD1	MXD1	19229	chr2	69914350	69914351	+	1	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	8	0	8	0	0	0	0	0	0.0
MXD1	MXD1	19229	chr2	69914352	69914353	+	1	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	8	0	8	0	0	0	0	0	0.0
MXD1	MXD1	19229	chr2	69914353	69914354	+	1	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	8	0	8	0	0	0	0	0	0.0
MXD1	MXD1	19229	chr2	69914356	69914357	+	1	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	8	0	8	0	0	0	0	0	0.0
MXD1	MXD1	19229	chr2	69914357	69914358	+	1	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	8	0	8	0	0	0	0	0	0.0
MXD1	MXD1	19229	chr2	69914358	69914359	+	1	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	8	0	8	0	0	0	0	0	0.0
